"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	PB/PSA FDIC CERTIFICATE NUMBER	
37								0	4079		0	0	46873		13308	74	64260	0				
242								0	1442		0	0	17036		6421	33	24899	0				
279								0	10774		424	1	62751		16816	121	90765	0				
354								0	0		0	0	5812		1121	5	6933	0				
457								0	869		0	0	17938		5342	35	24149	0				
505								0	6744		255	1	137522		120835	376	265356	0				
1155								0	10862		330	1	84744		48588	157	144524	0	140755	0		
1351								0	6795		600	1	38528		62733	283	108656	0				
1454								0	17837		285	1	201625		211988	552	431735	0				
1557								0	1931		0	0	20847		9506	49	32284	0				
1632								0	27744		6422	16	390390		215477	848	640033	0	604877	0		
1669								0	11231		0	0	114235		75289	204	200755	0				
1829								0	18100		3845	6	185633		78600	346	286178	0				
1856								0	20		0	0	116812		28620	23	145452	0				
2040								0	8850		0	0	108761		42645	143	160255	0	160405	0		
2161								0	6751		334	1	46443		38609	202	92137	0				
2376							68300	0	49272		0	0	529567		187784	1195	766623	0	719977	0		
2451								0	644		0	0	30685		4912	28	36333	92				
2554								0	85		0	0	3652		4926	23	8663	0				
2732								0	9835		557	2	137492		301654	697	449538	0				
2750								0	1896		0	0	21599		14489	75	37984	0				
2938								0	7025		1397	4	210766		141466	410	360654	0	341063	0		
3252								0	5383		0	0	36274		77475	136	119132	0				
3458								0	485		0	0	13119		8755	44	22359	0				
3720								0	5005		860	3	89162		43486	235	138513	0				
3953								0	339		0	0	54335		46702	226	101376	0				
4138								0	10168		1068	4	104033		65128	346	180397	0				
4156								0	5868		257	1	70057		47023	163	123992	787				
4231								0	11217		4968	13	46540		42421	213	105146	0				
4437								0	8889		624	2	117723		63959	337	191195	0				
4839								0	12164		3026	4	121008		91038	359	227291	55				
5005								0	21135		302	1	198965		118917	648	339319	0				
5069								0	532		0	0	129102		133441	399	263075	0				
5135								0	10918		329	1	97541		160523	352	269311	0				
5210								0	54465		1168	4	485076		142241	713	682950	0				
5331								0	7773		0	0	131153		74280	338	213206	0				
5461								0	4755		0	0	110698		225155	693	340608	0				
5751								0	5079		0	0	31003		46633	134	82715	0				
6039								0	7513		321	1	42468		21379	75	71681	0				
6141								0	967		0	0	18699		21283	50	40950	0				
6329								0	11412		1861	5	191230		169251	721	373754	0				
6972								0	27347		260	1	361110		389114	870	777831	0				
7009								0	436		7741	7	59215		560885	802	628278	0				
7045								0	4173		867	2	53964		47543	131	106547	0				
7157								0	2684		0	0	20051		8657	32	31557	165				
7456								0	2337		0	0	27854		18294	55	48485	0				
7634								0	2674		675	2	36691		32781	85	72821	0				
8033								0	2520		0	0	51483		35404	114	89407	0				
8462								0	3016		0	0	32197		64004	178	99217	0				
8631								0	2846		0	0	27674		16587	88	47107	0				
9357								0	1079		344	1	41976		198393	408	241792	0				
9553								0	7295		299	1	35950		18648	83	62192	0				
9807							479404	0	75717		5590	16	996461		871767	2821	1949535	0	1966383	0		
9955								0	2096		0	0	44321		23581	88	69998	0				
10157								0	1809		0	0	31536		13510	60	46855	0				
10250								0	41927		3493	8	203417		132475	472	381312	0				
10849								0	8743		0	0	133494		126217	512	268454	0				
10858								0	9669		383	1	213737		133432	506	357221	0				
11145								0	5675		1436	3	76947		49847	175	133905	0				
11640								0	9867		1429	4	89587		116908	300	217792	0				
11837								0	4115		0	0	39301		31438	108	74854	0				
