"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF162	RCFDF163	RCFDF585	RCFDF586	RCFDF587	RCFDF588	RCFDF589	RCFDF597	RCFDF598	RCFDF599	RCFDF600	RCFDF601	RCFDF608	RCFDF609	RCON1288	RCON1420	RCON1460	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONF578	RCONF579	RCONF580	RCONF581	RCONF582	RCONF583	RCONF584	RCONF585	RCONF586	RCONF587	RCONF588	RCONF589	RCONF590	RCONF591	RCONF592	RCONF593	RCONF594	RCONF595	RCONF596	RCONF597	RCONF598	RCONF599	RCONF600	RCONF601	
979759																																													0	2276	0		0		1397	0			1818	0	5020	0	110	25725	0	0	0	5584	61	3998	4925	612	1371	1922	229	1040	342	2460	6987	4597	4105	693	298								0	0		0	0	0	2018	0	4998	2443			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
980045																																													0	2865	0		19		891	0			1309	0	1856	0	0	14538	83	0	0	6731	82	4373	2134	969	3592	129	289	1752	0	543	4000	1626	1200	521	0								0	0			0	0	480	0	0	388			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
980157																																													0	7517	77		0		12351	0			6026	0	2794	0	0	33334	0	41	0	2351	139	24	13488	68	316	497	1214	153	0	10962	5409	3713	6110	3847	2								0	10			0	0	90	73	0	1865			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
980344																																													0	0	0		0		0	0			1174	1980	917	0	0	22405	0	0	0	10793	927	0	4759	55	610	2696	4764	2247	421	2074	2027	2319	4240	952	0								0	13		0	0	0	0	0	5699	902			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
980438																																													0	11935	8		18		1935	0			1771	0	4274	0	46	47006	0	426	0	18589	626	0	10103	460	2575	5864	7057	1647	986	994	6150	9310	10932	648	0								0	0			0	0	0	0	5547	1831			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
980531																																													0	1503	4318	0	696	696	3371	0	41757	0	41757	1020	44845	0	0	274005	0	647	0	75925	4057	45	81421	3495	10076	21542	40290	341	23	29202	49600	41632	75083	1159	0	0	0	0	0	0	0	0	0	446	0		0	0	13028	23500	37472	21420	0	647	0			0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
980661	4472092	61302	1429	0	1638071	3743	767606	0	0	7731788	0	7113	1217606	2447029	349462	926097	691871	1077749	273201	0	100000	0	0	0	285224	9722	54355		0	0	0	392599	0	0	0	0	0	0	0	0	0	0	0	0	100000	13758	132343	0	59471	59471	1429		1569270	3687	1572957	496287	642244	0	0	7212235	0	386934		1958559	23459	859020		85791	239062	206016	225293	237399	960949							100000			0	0			285224	9096					276113	209486	381277	663598			0			0	2197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
980951																																													0	2476	1646		111		781	0			16024	5379	8498	0	0	89588	0	0	0	14245	2551	3108	22953	1100	1755	4391	4004	1434	1561	22092	12526	14464	15318	5823	3271								0	539			0	0	1579	7359	16822	11578			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
980960																																													0	1764	685		0		0	0			29829	0	7185	0	0	192563	30	0	0	48853	3046	5167	92920	14136	10276	5065	6419	1270	11587	62503	35763	21729	5598	10175	7821								101	0			0	0	27883	38257	12572	22418			0			0	0	0	0	0	4250	0	0	0	0	0	0	0	0	0	0	0	3173	0	0	0	0	0	0	0	0	
981350																																													0	510	382		7		331	0			516	109	738	0	0	5681	0	20	0	2467	37	0	1942	184	540	1681	0	0	0	444	774	1662	188	135	0								0	0			0	0	0	0	283	281			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
