"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF162	RCFDF163	RCFDF585	RCFDF586	RCFDF587	RCFDF588	RCFDF589	RCFDF597	RCFDF598	RCFDF599	RCFDF600	RCFDF601	RCFDF608	RCFDF609	RCON1288	RCON1420	RCON1460	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONF578	RCONF579	RCONF580	RCONF581	RCONF582	RCONF583	RCONF584	RCONF585	RCONF586	RCONF587	RCONF588	RCONF589	RCONF590	RCONF591	RCONF592	RCONF593	RCONF594	RCONF595	RCONF596	RCONF597	RCONF598	RCONF599	RCONF600	RCONF601	
	REAL ESTATE LOANS, TOTAL	OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	LN LEASE RSTRCTD OTHR	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	OTH LOANS TO INDIVIDUALS	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	PURCHD IMPAIRED LNS, ETC.-OUTSTDING 	PURCHD IMPAIRED LNS, ETC.-CARRYING A	LEASE TO INDVDL FOR HSEHLD, FMLY & P	ALL OTHR LEASE FINANCING RECEIVABLES	CMRCL IND LN MEAS AT FV	LN TO INDV FOR HH FAM PERS EXPND	LN TO INDV FOR HH EXPND OTHR CRDT PL	LN TO INDV FOR HH EXPND OTHR CNSMR L	OTH LN MSRD AT FV	UNPD PRIN BAL OF CMRL IND LN	UNPD PRIN BAL OF LN IND HH FAM AND O	UNPD PRIN BAL OF LN IND HH FAM AND O	UNPD PRIN BAL OF LN TO IND HH AND OT	UNPD PRIN BAL OF OTHR LN	LN SEC BY REAL ESTATE	UNPD PRIN BAL OF LN SEC BY REAL EST	LOANS TO DI'S & ACCEPT OTHR	R.E. LOANS-FARMLAND	R.E. LOANS MULTI-FAMILY	LOANS FOR PURCHASING SECURITIES	OTHER LOANS	ALL OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	LN LEASE RSTRCTD OTHR	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	C&I LOANS	REVOLVING, OPEN-END LNS SECD BY 1-4F	OTH LOANS TO INDIVIDUALS	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LEASE FINANCING RECEIVABLES	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN	ALL OTH LNS SECD BY 1-4FMLY-JR LIENS	ADJTBL RATE CLOSED-END LNS SECD BY 1	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	CLSD-END LNS SECD 1ST LIENS 3 MOS LE	CLSD-END LNS SECD 1ST LIENS OV3-12 M	CLSD-END LNS SECD 1ST LIENS OV 1-3 Y	CLSD-END LNS SECD 1ST LIENS OV 3-5 Y	CLSD-END LNS SECD 1ST LIENS OVR 15 Y	LOANS SECD BY RE MAT OVER 15 YEARS	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LOANS TO COM BANKS IN THE U.S.-DERV	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LOANS TO BNKS IN FGN COUN - DERIVED	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	PURCHD IMPAIRED LNS, ETC.-OUTSTDING 	PURCHD IMPAIRED LNS, ETC.-CARRYING A	LN SECURED BY 1-4 FAM RES CONSTRUCTI	LN SECURED BY OTHR CNSTRCTN LN & LA 	LN SECURED BY OWNER OCCPD NONFARM NO	LN SECURED BY OTHR NONFARM NONRES PR	LEASE TO INDVDL FOR HSEHLD, FMLY & P	ALL OTHR LEASE FINANCING RECEIVABLES	TOTAL CARRY AMT OF CLS-END LN NEG AM	TOTAL MAX REMAINING NEG AMRTZ PERMIT	TOTAL AMT NEG AMRTZ ON CLS-END LN IN	LN SEC 1-4 RES PROP IN DMST OFC	LN SEC 1-4 RES PROP IN PROC OF FCLS	LN SEC CNST LAND DEV AND OTHR LAND L	LN SEC FARMLAND	RVLVG OE LN SEC 1-4 FAM RES PROP	RVLVG CLS LN SEC 1-4 FAM RES PROP	RVLVG CLS LN SEC JR 1-4 FAM RES PROP	LN SEC MLTI FMLY RES PROP	LN SEC NONFARM NON RES PROP	CMRCL IND LN MEAS AT FV	LN TO INDV FOR HH FAM PERS EXPND	LN TO INDV FOR HH EXPND OTHR CRDT PL	LN TO INDV FOR HH EXPND OTHR CNSMR L	OTH LN MSRD AT FV	UNPD PRIN BAL OF CONS LND DEV AND OT	UNPD PRIN BAL OF LN SEC BY FRM LAND	UNPD PRIN BAL OF LN SEC RVLV CRDT	UNPD PRIN BAL OF LN SEC RVLV RES PRO	UNPD PRIN BAL OF LN SEC RVLV RES PRO	UNPD PRIN BAL OF LN SEC BY MFAM RES 	UNPD PRIN BAL OF LN SEC BY NONFRM RE	UNPD PRIN BAL OF CMRL IND LN	UNPD PRIN BAL OF LN IND HH FAM AND O	UNPD PRIN BAL OF LN IND HH FAM AND O	UNPD PRIN BAL OF LN TO IND HH AND OT	UNPD PRIN BAL OF OTHR LN	
37																																													0	1350	172		46		92	0			1167	0	8576	0	2201	45676	0	0	0	21977	95	0	16816	1389	4388	8108	4758	2637	186	5128	5911	7357	3964	725	264								0	0			0	0	438	838	8724	0			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
242																																													0	1316	0		11		2096	0			1868	0	2776	0	0	19878	0	0	0	7355	30	0	10206	409	957	3658	1026	1304	0	4574	4267	2152	1204	327	0								0	0			0	0	0	0	0	4426			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
279																																													0	212	82		3		406	0			2716	272	6646	0	0	64973	29	325	123	35555	366	439	7678	254	355	3465	1509	12092	17880	2896	4369	5257	5450	9227	2249								0	0			0	0	2575	3796	2853	9195			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
354																																													0	1048	0		0		580	0			340	0	784	0	0	4425	0	0	0	1611	23	1417	934	105	1486	0	0	0	0	286	1828	369	153	11	0								0	0			0	0	0	0	0	39			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
457																																													0	3012	0		70		5667	0			3656	0	2925	0	323	27623	0	0	0	4902	789	4362	12170	309	918	3193	428	0	0	3837	7258	6973	3483	184	323								0	0			0	0	1136	1153	2927	1063			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
505																																													0	0	4269	0	54	54	0	0	15794	0	15794	15185	39676	0	9032	272974	7889	0	0	149236	6485	40119	22847	917	7644	20911	9411	40657	68527	27189	10525	19242	30054	31641	12249	0	0	0	0	0	0	0	0	477	0		0	0	4316	1560	19277	15502	0	0	0			0	987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1155																																													0	5208	512		3487		5784	0			39440	842	6687	0	1338	137090	0	0	0	17126	3896	408	52335	1824	2270	4301	6771	1131	829	43331	14320	23557	31193	5324	1894								539	182			0	0	2467	6152	13412	30018			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1351																																													0	9088	0		190		4700	0			18323	0	9940	0	0	66017	0	48	0	11613	0	11613	51238	2267	8121	600	230	351	0	12842	28008	7413	4604	757	0								0	0		0	0	0	0	0	0	12115			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1454																																													0	4576	982	0	29	29	3681	0	32354	0	32354	2994	31045	0	0	213310	597	63	0	72993	7433	5346	42125	3567	3345	3076	6968	32768	23227	36863	10169	22375	36101	30395	3886	0	0	0	0	0	0	0	0	1173	0		0	0	2314	5127	24848	24295	0	63	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1557																																													0	5227	0		4		9524	0			970	0	928	0	0	21247	0	0	0	2472	0	0	8451	28	695	385	992	372	0	2077	5651	2488	5091	2622	846								0	0		0	0	0	0	304	1818	0			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1632																																													0	7985	14896	7503	11958	4455	7725	0	92452	0	92452	42978	14642	0	2190	680665	0	832	1342	106343	12841	23040	251270	30344	12639	41089	7428	13261	1542	299198	62747	89944	31665	79239	3220	0	0	0	0	0	0	0	0	1253	0		0	0	34909	177123	68437	84101	0	832	0			1386	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1669																																													0	509	203		124		1901	0			12041	0	11111	0	0	76562	0	61	0	41259	1873	24666	10091	1760	6733	1072	1318	18074	12237	4324	8669	7803	7358	6562	481								0	0			0	0	399	1002	1972	4107			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1829																																													0	0	18519	0	47	47	0	0	26507	0	26507	7619	574	0	75	263332	299	28705	0	103654	16873	0	29413	2417	1572	2492	12448	46698	37797	18409	7015	25101	38977	58012	7194	0	0	0	0	0	0	0	686	1631	0		0	0	2116	348	56277	0	0	28705	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1856																																													0	1513	0		8		816	0			2637	0	924	0	0	9554	0	0	0	2133	0	1748	2963	1413	238	88	5	366	0	4917	528	1286	549	72	0								0	0			0	0	0	38	1485	0			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2040																																													0	5274	9664		65		1396	205			12278	1698	5280	0	30	151337	0	0	0	30907	1452	584	46670	3921	3153	21323	2155	249	0	26061	13536	52784	23489	2156	0								459	0			0	0	2214	16894	33812	29914			0			268	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2161																																													0	138	0		163		2328	224			9941	0	9058	0	0	56534	2	0	0	31460	0	22809	18544	1820	7683	8716	5821	5563	1857	3768	5273	7050	5575	3193	215								351	0			0	0	230	0	0	2867			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2376																																													0	0	234496	45	45	0	0	0	11200	0	11200	8486	257	0	0	1128237	0	0	5178	287909	38141	34473	76397	1734	1616	9562	28275	103284	143395	41052	47763	98317	57334	375415	195153	0	0	0	0	0	0	0	0	0	0		0	0	43153	96378	91558	316614	0	0	0			0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2451																																													0	6512	1018		817		2763	426			4578	381	1030	0	0	33277	0	0	0	9287	267	7205	6809	1893	5159	355	0	306	1533	15590	5200	1147	83	621	47								0	0			0	0	553	3270	0	2801			0			130	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2554																																													0	1156	0		0		1787	0			649	0	424	0	0	4256	0	0	0	240	0	0	954	0	0	0	20	101	119	2665	135	202	606	291	117								0	0			0	0	0	0	0	0			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2732																																													0	166	91288	0	180	180	0	0	73610	0	73610	6075	4447	0	0	413606	623	0	0	12646	1261	2728	132049	3431	1638	4951	110	445	2071	133272	40134	152279	50272	4428	19839	0	0	0	0	0	0	0	0	0	0		0	0	18056	31990	85262	89248	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2750																																													0	6931	739		150		19560	0			2105	0	1798	0	8	36889	0	0	0	2932	107	250	18058	555	456	1225	410	0	0	14698	6689	3025	7880	388	20								0	213			0	0	69	102	575	1600			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2938																																													0	2762	24035	537	2528	1991	338	0	70043	0	70043	21610	7888	0	0	346898	0	0	3909	64623	2411	14255	145594	16162	5559	31732	10090	1026	29	155641	14801	73664	24592	11425	344	0	0	0	0	0	0	0	0	535	0		0	0	15712	44201	38303	51909	0	0	0			0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3252																																													0	16833	0		150		25005	0			8687	0	4646	0	809	63277	0	143	0	621	0	466	0	156	312	6	8	90	0	23573	27764	5243	3602	2008	0								0	0			0	0	0	677	0	5706			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3458																																													0	2487	355		3		1060	0			3783	0	537	0	0	12449	0	608	0	2137	21	0	3084	71	164	1388	376	66	72	2667	1489	3606	1268	681	241								0	0			0	0	5	779	86	588			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3720																																													0	6378	287		436		5972	0			10690	3152	7717	0	877	108544	0	0	0	25793	919	981	34180	2762	4584	8594	7361	2119	354	28075	13532	15830	20868	3496	756								0	252			0	0	2903	7515	28502	7151			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3953																																													0	7160	2720		98		14870	0			36893	0	5124	0	0	110386	0	0	0	9197	2956	220	45329	1605	2433	2991	1983	22	0	75007	11408	8393	1413	634	100								0	0			0	0	5917	5755	16643	3053			0			0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4138																																													0	858	1848		338		0	0			16849	3041	13763	0	195	144588	418	0	0	53407	1195	34800	29611	3167	9411	22960	5042	7719	5108	21413	32143	5762	14780	4990	9783								0	56			0	0	5634	12747	16822	18253			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4156																																													0	9183	4525		1		7907	0			15135	2267	4409	0	0	115604	0	1133	0	29552	1086	1221	40846	3767	3057	4135	2176	14833	1151	25158	17298	11965	20137	9286	1202								0	0			0	0	5385	8091	0	26930			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4231																																													0	11678	0		226		1307	0			6669	0	8604	0	2102	84250	0	0	0	13083	0	3	31646	1093	2283	6816	2236	561	0	24307	15944	21207	8513	1123	0								0	0			0	0	1381	931	10763	27506			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4437																																													0	4417	1666		66		1069	0			16822	6060	10634	0	340	171008	225	0	0	44279	6105	35916	50671	4300	5526	17088	12852	2763	713	55679	14779	26806	20493	6829	1017								0	5429			0	0	10609	16457	40161	7119			0			0	827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4839																																													0	0	32759		1320		0	0			9222	5619	2055	0	0	222192	0	0	0	18133	1992	3565	86284	5567	1319	5308	5889	50	0	64437	19556	61467	50745	3423	0								0	512			0	0	11175	25254	59689	54462			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5005																																													0	0	17495	0	196	196	0	0	20179	0	20179	4713	565	0	0	333980	0	0	0	124376	11435	42668	73816	399	3521	13566	20045	24215	62103	93859	9060	26258	38778	33938	7711	0	0	0	0	0	0	0	0	85	0		0	0	50180	17659	44327	42770	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5069																																													0	0	1680	0	831	831	0	0	4557	0	4557	1100	32	0	0	297621	1447	0	0	39161	16621	37199	226239	37464	0	1697	0	0	0	192966	42407	8006	7992	3949	1000	0	0	0	0	0	0	0	0	0	264		0	0	51061	8081	133668	42276	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5135																																													0	55963	3765	0	82	82	22688	203	31509	0	31509	0	13454	0	7721	244985	0	0	0	51637	1872	33026	122671	29946	10450	10236	224	425	270	126999	44175	13982	4731	809	2531	0	0	0	0	0	0	0	483	0	0		0	0	2875	13506	30926	8504	0	0	0			560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5210																																													4534	7155	28093	0	5091	5091	3428	0	42416	0	42416	51709	10419	0	6620	623704	0	0	0	232360	23434	112869	22221	13490	18399	23992	32728	82532	61218	116805	19647	65007	138497	28420	11563	0	0	0	4534	0	0	0	0	1467	0		0	0	8626	37088	90756	70508	0	0	0			0	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5331																																													0	0	71654	0	497	497	0	0	3515	0	3515	7390	381	0	0	147419	192	0	725	12503	354	1011	40821	3078	851	1436	6131	520	487	20403	28687	35519	39459	5231	0	0	0	0	0	0	0	0	0	94	0		0	0	4884	13220	3489	29630	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5461																																													0	9664	10330	0	11778	11778	1962	747	46689	0	46689	10511	6341	0	0	341408	414	0	26761	16452	2666	3134	77584	1161	1068	3148	10524	143	408	25606	53215	109832	118129	18212	328	0	0	0	0	0	0	0	0	370	0		0	0	11963	30748	84840	97508	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5751																																													0	8113	128		6		30922	0			4095	0	2061	0	267	56281	0	0	0	9812	70	2882	18965	176	924	1950	839	3290	2633	22438	4948	3757	8231	3726	363								0	11			0	0	35	303	298	160			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6039																																													0	2292	0		254		2692	496			21311	0	4205	0	1639	63739	34	0	0	5755	622	179	21914	429	1148	1995	633	1514	0	38517	5548	6172	4311	2612	389								467	70			0	0	906	2653	0	20907			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6141																																													0	2827	0		11		2834	0			410	0	3857	0	116	20090	0	0	0	5860	0	1269	8752	282	1055	1046	1670	1770	0	2703	4712	2341	2617	1343	514								0	0			0	0	0	0	0	4175			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6329																																													0	6324	92	0	1401	1401	5175	0	44659	0	44659	4739	66233	0	568	340397	0	0	0	59486	6269	5343	158287	6973	13205	24154	9501	2374	125	69666	82873	74164	42490	7431	374	0	0	0	0	0	0	0	1133	1558	0		0	0	41356	54986	29678	16740	0	0	0			0	1619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6972																																													0	7327	36600	0	5324	5324	2280	0	155416	0	155416	29822	3665	0	9712	857421	0	1038	18192	27663	9456	6745	502691	1930	1647	3844	3390	9436	7416	450380	48734	110943	151227	47309	9029	0	0	0	0	0	0	0	0	4273	0		0	0	156378	169825	62267	176375	1038	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7009																																													0	0	0	2752	28621	25869	0	0	51263	1172	52435	0	132025	0	0	213081	0	0	0	0	0	0	193506	0	0	0	0	0	0	193506	0	19575	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7045																																													0	3978	0		2		4827	0			2840	530	12781	0	900	62156	0	0	0	21371	114	18928	10122	159	685	1944	9755	2910	5568	3932	5346	10366	15106	3596	2393								565	14			0	0	1096	603	0	12535			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7157																																													0	3230	165		0		2432	0			3346	65	4215	0	0	22166	0	0	0	7531	0	0	7107	526	936	5310	430	26	261	2613	3032	5928	1562	505	938								0	0			0	0	0	0	0	1182			0			0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7456																																													0	3244	0		565		8520	0			10993	60	1723	0	0	31482	0	0	0	2365	269	0	13064	31	453	824	1056	0	0	11859	1346	6747	8232	934	0								0	0		0	0	0	1172	201	0	2370			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7634																																													0	1356	0		129		1884	0			31059	0	5289	0	0	72330	0	0	0	16654	542	0	29744	1814	4947	8787	946	160	0	15614	13782	21359	3864	471	0								0	0			0	0	1792	5101	0	8524			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8033																																													0	11220	356		316		6656	0			32100	0	6984	0	0	98806	0	0	0	19292	140	2777	37818	4595	2844	7504	3537	563	37	44873	6593	11564	13733	2177	29								0	0			0	0	6030	10896	3943	873			0			0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8462																																													0	1953	0		0		8747	0			10575	0	9481	0	620	34595	0	0	0	1157	312	0	13264	0	21	37	29	521	549	16962	4114	4818	5325	1944	243								0	0			0	0	128	0	1491	131			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8631																																													0	109	0		67		59	66			6713	0	7894	0	0	35344	0	0	0	15424	430	0	3082	5	135	157	435	7168	7267	2627	1089	2633	5832	7156	540								0	0			0	0	100	617	3931	0			0			0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9357																																													0	0	0	0	395	395	0	0	136912	0	136912	4625	5871	0	0	234006	0	0	0	42392	1495	0	143227	38204	0	0	993	946	1329	122957	11426	25314	23434	8209	140	0	0	0	0	0	0	0	0	304	0		0	0	0	0	36160	5852	0	0	0			0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9553																																													0	17139	274		929		38624	0			3799	0	1549	0	0	69477	0	0	0	4964	37	93	35118	284	883	1459	2074	202	62	54751	1571	2414	2669	3108	0								0	0			0	0	1319	0	843	0			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9807																																													0	0	70172	0	1152	1152	0	9159	94846	0	94846	73094	325	0	0	1905283	3302	0	0	390134	53363	54683	996698	46742	15382	29229	45651	111454	133711	872237	62337	147623	112745	146120	24786	0	0	0	0	0	0	0	0	203	0		0	0	374427	494336	126402	230131	0	0	0			0	7931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9955																																													0	8885	82		54		8385	0			10404	833	2935	0	0	47572	0	1273	0	8700	0	6132	22650	178	1254	3930	736	1207	1339	7062	14156	9519	6554	934	359								0	15			0	0	99	0	0	5907			0			0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10157																																													0	3566	842		83		6321	878			3812	187	1710	0	345	30462	0	249	0	1809	0	1236	9569	205	909	79	221	363	0	10149	6539	2518	3131	1475	1144								0	0			0	0	2646	1489	7403	0			0			0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10250																																													0	770	7628	0	218	218	24	0	72530	0	72530	15178	25386	0	2843	355501	0	0	0	41327	29000	16434	108739	4295	5298	9337	20055	2255	0	57900	46753	76885	107280	21676	0	0	0	0	0	0	0	0	360	1342	0		0	0	3569	43776	73996	37554	0	0	0			0	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10849																																													1000	12792	38686	1542	3090	1548	10103	0	12187	0	12187	738	2520	0	579	246445	96	0	0	34117	4908	20028	113432	7247	6109	11743	4130	4842	46	102869	31286	39672	26419	11176	1000	1000	1000	0	0	0	0	0	0	0	0		0	0	11327	48830	35682	29982	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10858																																													0	29196	6317	0	1041	1041	55947	0	80983	1	80984	3733	29604	0	3813	370266	0	0	0	22198	9857	4544	163200	1533	5037	2749	7076	2847	2956	87912	127595	36025	74005	19907	140	0	0	0	0	0	0	0	47266	1093	0		0	0	5254	6973	32614	34376	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11145																																													0	0	0		95		102	0			1690	2091	5775	0	1774	129618	0	0	0	72336	3194	2694	15235	729	5993	20319	19081	24734	380	9863	5638	18600	14153	4882	518								0	0			0	0	891	1742	35204	4724			0			0	470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
