"IDRSSD"	RCFD0426	RCFD2130	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD5372	RCFD5374	RCFD5375	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB565	RCFDB566	RCFDB567	RCFDB568	RCFDB569	RCFDB570	RCFDB571	RCFN5513	RCON0426	RCON2130	RCON2150	RCON2651	RCON3164	RCON3190	RCON5372	RCON5374	RCON5375	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB565	RCONB566	RCONB567	RCONB568	RCONB569	RCONB570	RCONB571	
	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	AGGREG AKT OF EXT OF CREDIT TO EXECS	# OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	FHLB ADVANCES: MATURING 1-3 YEARS	FHLB ADVANCES: MATURING > 3 YEARS	OTHER BORROWINGS MATURING 1-3 YEARS	OTHER BORROWINGS MATURING > 3 YEARS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	ALL OTHR RE OWNED IN FOREIGN OFFICES	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	CONSTRCTN&LAND DEVLPMNT IN DOMS OFFC	FARMLAND IN DOMESTIC OFFICES	1-4 FMLY RESDTL PROPTS IN DOMS OFFCS	MULTIFMLY RESDTL PROPTS IN DOMS OFFC	NONFRM NONRESDTL PROPTS IN DOMS OFFC	AGGREG AKT OF EXT OF CREDIT TO EXECS	# OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	FHLB ADVANCES: MATURING 1-3 YEARS	FHLB ADVANCES: MATURING > 3 YEARS	OTHER BORROWINGS MATURING 1-3 YEARS	OTHER BORROWINGS MATURING > 3 YEARS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	
751656																							0	0	0	0	0	2139	0	0	0	0	0	0	0	0	0	321	0	0	0	400	1178	0	0	true	0	561	
751740																							0	0	54	0	0	0	0	0	0	0	0	0	54	0	0	476	0	0	0	0	0	0	0	false	0	0	
751759																							1898	0	1424	8000	0	9980	0	0	0	1898	0	285	0	0	1139	1867	2	0	0	0	1980	0	0	false	0	0	
751852																							0	0	406	0	0	2000	0	0	0	0	116	0	0	0	290	209	0	0	0	1500	500	0	0	false	0	0	
751955																							0	0	113	5908	0	12537	0	0	0	0	0	0	0	0	113	824	1	0	0	2634	3995	0	0	true	0	0	
752644																							0	0	86	0	0	0	0	0	0	0	0	0	86	0	0	2004	1	0	0	0	0	0	0	false	0	0	
752653																							0	0	68	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	false	0	0	
752831																							0	0	12	299	0	2370	0	0	0	0	12	0	0	0	0	620	0	0	0	1187	884	0	0	false	0	0	
752970																							2086	0	3052	0	2086	163000	0	0	0	0	0	81	672	0	2299	459	0	2086	0	14000	106000	0	0	true	0	43000	
753052																							0	0	40	0	0	0	0	0	0	0	0	0	40	0	0	363	1	0	0	0	0	0	0	false	0	0	
753324																							0	0	0	8000	0	18000	0	0	0	0	0	0	0	0	0	1455	0	0	0	0	10000	0	0	true	0	0	
753351																							287	54	0	1000	0	5578	0	0	54	287	0	0	0	0	0	713	1	0	0	1000	1314	0	164	true	0	2100	
753548																							0	0	706	0	0	1545	0	0	0	0	0	0	0	0	706	1209	0	0	0	0	1545	0	0	true	0	0	
753641																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	0	0	0	0	0	0	0	false	0	0	
753856																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0	0	0	0	0	false	0	0	
754031																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	
754068																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	false	0	0	
754246																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	false	0	0	
754358																							0	0	94	0	0	0	0	0	0	0	0	0	0	0	94	1267	1	0	0	0	0	0	0	false	0	0	
754433																							0	0	376	0	0	3800	0	0	0	0	0	0	376	0	0	8	0	0	0	0	3800	0	0	false	0	0	
754536																							0	0	39	33	0	2404	0	0	0	0	0	0	39	0	0	256	0	0	0	11	2360	0	0	false	0	0	
754657																							883	0	459	0	0	7527	0	0	0	883	0	102	0	0	357	64	0	0	0	0	7527	0	0	true	0	0	
754826																							0	0	0	0	0	306	0	0	0	0	0	0	0	0	0	2731	1	0	0	0	0	0	0	false	0	306	
754853																							0	61	0	0	0	0	0	61	0	0	0	0	0	0	0	8275	3	0	0	0	0	0	0	true	0	0	
754929																							4309	0	131	0	0	0	0	0	0	4309	73	0	0	0	58	6617	4	0	0	0	0	0	0	false	0	0	
755047																							264	0	1240	13000	264	18569	0	0	0	0	1240	0	0	0	0	4654	0	458	0	503	5066	0	0	false	0	0	
755056																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	false	0	0	
755252																							0	0	164	0	0	6978	0	0	0	0	0	0	20	0	144	2058	2	0	0	87	6891	0	0	true	0	0	
755328																							0	0	80	2350	0	22350	0	0	0	0	0	0	0	0	80	4919	3	0	0	11500	8500	0	0	false	0	0	
755421																							0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	900	3	0	0	0	0	10	0	false	0	10	
755458																							0	0	0	1000	0	11285	0	0	0	0	0	0	0	0	0	510	0	0	0	5700	4585	0	0	true	0	0	
755551																							634	0	559	30	0	21759	0	0	0	634	441	0	0	0	118	3162	3	0	0	2087	18373	0	0	false	0	1269	
755850																							0	0	320	0	0	0	0	0	0	0	0	275	33	0	12	48	0	0	0	0	0	0	0	true	0	0	
756316																							3529	0	0	0	292	0	0	0	0	3237	0	0	0	0	0	1516	0	304	0	0	0	0	0	false	0	0	
756343																							0	0	57	0	0	0	0	0	0	0	0	0	57	0	0	10	0	0	0	0	0	0	0	false	0	0	
756848																							0	0	8	0	0	1500	0	0	0	0	8	0	0	0	0	1369	2	0	0	700	800	0	0	false	0	0	
756950																							0	0	104	0	0	942	0	0	0	0	0	0	0	0	104	37	0	0	0	0	0	0	942	true	0	0	
757377																							843	0	0	0	843	0	0	0	0	0	0	0	0	0	0	474	0	843	0	0	0	0	0	true	0	0	
757452																							1376	0	53	2000	0	13000	0	0	0	1376	0	0	53	0	0	553	0	0	0	6000	5000	0	0	false	0	0	
757612																							0	0	20	0	0	2355	0	0	0	0	0	0	20	0	0	1562	1	0	0	0	2000	0	0	false	0	355	
757779																							0	0	167	0	0	0	0	0	0	0	0	0	167	0	0	440	6	0	0	0	0	0	0	false	0	0	
758440																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	false	0	0	
758703																							1512	0	0	0	35	133000	0	0	0	1477	0	0	0	0	0	1108	0	35	0	14000	119000	0	0	true	21353	0	
758721																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1400	0	0	0	0	0	0	0	false	0	0	
758842																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1830	2	0	0	0	0	0	0	false	0	0	
758851																							0	0	523	0	0	0	0	0	0	0	0	0	523	0	0	220	0	0	0	0	0	0	0	false	0	0	
759045																							0	0	211	173	0	7645	0	0	0	0	0	0	211	0	0	0	0	0	0	0	7472	0	0	false	0	0	
759250																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	false	0	0	
759540																							0	0	23	0	0	2357	0	0	0	0	0	0	23	0	0	1319	2	0	0	2050	307	0	0	false	0	0	
759625																							110	275	70	0	0	0	0	0	275	110	0	0	0	0	70	1234	1	0	0	0	0	0	0	true	0	0	
760041																							0	0	1420	187	0	39548	0	0	0	0	0	50	505	790	75	2080	1	0	0	5182	34179	0	0	false	0	0	
760108																							0	0	0	3000	0	39272	0	0	0	0	0	0	0	0	0	483	0	0	0	6674	29247	0	351	true	0	0	
760210																							0	0	27	0	0	0	0	0	0	0	0	0	27	0	0	899	0	0	0	0	0	0	0	false	0	0	
760331																							0	1763	230	0	0	0	0	0	1763	0	0	0	0	0	230	2299	9	0	0	0	0	0	0	false	0	0	
760340																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	1	0	0	0	0	0	0	false	0	0	
760434																							0	0	40	0	0	0	0	0	0	0	0	0	40	0	0	737	3	0	0	0	0	0	0	false	0	0	
760555																							0	0	549	0	0	186	0	0	0	0	0	0	17	0	532	4275	2	0	0	0	186	0	0	true	0	0	
760649																							0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	1065	1	0	0	0	0	29	0	false	0	57	
760742																							0	0	0	0	0	5359	0	0	0	0	0	0	0	0	0	0	0	0	0	4150	1209	0	0	false	0	0	
760854																							0	0	194	0	0	0	0	0	0	0	0	0	169	0	25	1002	0	0	0	0	0	0	0	true	0	0	
760939																							0	0	35	0	0	0	0	0	0	0	35	0	0	0	0	825	8	0	0	0	0	0	0	false	0	0	
760957																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	false	0	0	
761244																							0	0	49	1000	0	1000	0	0	0	0	0	0	0	0	49	46	0	0	0	0	0	0	0	true	0	0	
761347																							0	0	48	1500	0	2500	0	0	0	0	0	0	48	0	0	6	0	0	0	500	500	0	0	false	0	0	
