"IDRSSD"	RCONA250	RCONB503	RCONB504	RCONB505	RCONB520	RCONB528	RCONB541	RCONB542	RCONB543	RCONB546	RCONB547	RCONB548	RCONB581	RCONB582	RCONB583	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONB596	RCONB600	RCONB601	RCONB602	RCONB603	RCONB604	RCONB605	RCONB606	RCONB607	RCONB608	RCONB609	RCONB610	RCONB611	RCONB612	RCONB617	RCONB618	RCONB619	RCONB620	RCONB621	RCONB622	RCONB623	RCONB624	RCONB625	RCONB626	RCONB627	RCONB628	RCONB629	RCONB630	RCONB631	RCONB639	RCONB640	RCONB641	RCONB642	RCONB643	RCONB644	RCONB650	RCONB651	RCONB652	RCONB653	RCONB654	RCONB655	RCONB656	RCONB657	RCONB658	RCONB659	RCONB660	RCONB661	RCONB662	RCONB663	RCONB664	RCONB665	RCONB666	RCONB667	RCONB668	RCONB669	RCONB670	RCONB671	RCONB672	RCONB673	RCONB675	RCONB676	RCONB677	RCONB678	RCONB679	RCONB680	RCONB681	RCONB682	RCONB683	RCONB684	RCONB685	RCONB686	RCONB687	RCONB688	RCONB689	RCONB690	RCONB691	RCONB693	RCONB694	RCONB695	RCONB696	RCONB697	RCONB698	RCONB699	RCONB700	RCONB701	RCONB702	RCONB703	RCONB704	RCONC063	RCONC064	RCONC225	RCONC227	RCONC228	
1351	0	0	0	0	0	44964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1732	0	0	23992	4305	0	71	500	3500	0	0	0	0	0	0	0	0	0	0	7650	37314	0	0	0	0	0	2635	0	0	0	0	-281	94	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	35911	11955	41775	0	7182	5978	41775	54935	0	8419	8419	12274	0	
1454	0	0	0	0	0	133251	0	0	0	15420	15420	0	15420	0	0	0	0	152	0	0	0	0	0	0	6132	9724	0	0	0	0	0	0	448	13157	88641	2990	0	0	0	0	1366	0	0	0	247	30535	102469	0	0	0	0	0	7000	152	66	826	0	-252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19355	138858	34891	108425	0	27772	17446	108425	153643	0	24000	24000	27048	0	
1557	0	0	0	0	0	19029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1205	29	0	0	0	2032	0	0	86	0	7711	0	694	0	0	0	0	0	0	0	0	3186	15843	0	0	0	0	0	907	0	0	0	0	-246	23	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362	0	0	0	362	0	0	0	1205	13097	3186	17829	0	2619	1593	17829	22041	0	3325	3325	5570	0	
1632	0	0	0	0	0	157211	0	0	0	2925	2925	0	75	0	2850	0	0	0	0	0	0	0	0	0	1636	3851	0	0	0	0	0	0	571	47	33004	828	0	0	0	0	0	0	0	0	3147	30026	124038	0	0	0	0	0	9051	0	0	800	0	-1654	210	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8389	0	0	0	8389	0	0	0	1683	41953	31064	143528	0	8391	15532	143528	167451	0	1076	1076	15918	0	
1669	0	0	0	0	0	64339	0	0	0	0	0	0	0	0	0	0	0	2405	0	0	0	0	0	0	6886	5824	0	0	1999	100882	2140	415	449	18543	26413	0	0	0	0	0	0	0	0	0	0	33419	30920	0	0	0	0	0	6874	2405	289	2255	209	1905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27717	142169	35768	33051	0	28434	17884	33051	79369	0	6795	6795	34647	0	
1829	0	0	0	0	0	131850	0	0	0	141	141	0	0	0	141	0	0	0	0	0	0	0	0	0	4958	5466	0	0	0	0	0	0	876	18170	75767	3702	8415	0	0	0	0	0	0	0	244	45160	86446	0	0	0	0	0	6892	0	0	964	0	-894	69	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3471	0	0	0	3471	0	0	0	23128	82441	48862	104470	0	16488	24431	104470	145389	0	0	0	32529	0	
1856	0	0	0	0	0	3891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	831	0	0	0	0	0	0	29	438	2438	0	0	0	0	0	0	0	0	0	40	1269	2582	0	0	0	0	0	459	0	0	0	0	-82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	18	0	0	0	604	4246	1269	3059	0	849	635	3059	4543	0	937	937	719	0	
2040	0	0	0	0	0	95948	0	0	0	445	445	0	0	0	445	0	0	0	0	0	0	0	0	0	849	1990	0	0	0	314	0	0	357	995	16595	1746	152	0	0	0	0	0	0	0	1599	28755	65594	0	0	0	0	0	5237	0	0	834	0	-769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1844	27108	30501	70594	0	5421	15250	70594	91265	0	5776	5776	12193	0	
2161	0	0	0	0	0	51051	0	0	0	123	123	123	0	0	0	0	0	0	0	0	0	0	0	0	1582	9517	0	0	719	0	0	0	237	228	23079	0	0	0	0	0	0	0	0	0	0	23086	27965	0	0	0	0	0	2706	0	5	894	0	-268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2657	43940	23086	29772	0	8788	11543	29772	50103	0	10450	10450	8326	0	
2376	0	0	0	0	0	366032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1570	2147	0	0	3833	5151	0	0	-1506	59234	235899	39915	2000	0	0	0	0	0	0	0	988	326470	38574	0	0	0	0	0	17818	0	0	4462	0	-6602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64637	256047	366385	53930	0	51209	183193	53930	288332	0	7400	7400	93597	0	
