"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	
1006344	202	6	2	0	196	2	0	
1006513	921	95	11	0	851	36	0	
1006559	454	6	5	0	443	0	0	
1006577	675	135	22	0	519	1	0	
1006652	1114	0	16	0	1200	102	0	
1006670	892	0	0	0	896	4	0	
1006858	166	6	2	0	158	0	0	
1006951	278	0	11	0	278	11	0	
1007015	9325	999	137	0	9309	1120	0	
1007051	676	0	2	0	676	2	0	
1007145	325	0	1	0	324	0	0	
1007154	1863	170	2	0	1785	94	0	
1007417	4033	0	1	0	4038	6	0	
1007556	300	16	0	0	295	11	0	
1007659	149	15	0	0	135	1	0	
1007734	86	0	0	0	86	0	0	
1007752	290	16	0	0	298	24	0	
1007819	3845	460	113	0	3742	470	0	
1007846	47774	5055	839	0	47745	5865	0	
1007930	172	10	0	0	182	20	0	
1007958	844	30	2	0	818	6	0	
1008076	297	12	0	0	285	0	0	
1008133	605	63	14	0	590	62	0	
1008151	108	0	1	0	107	0	0	
1008209	516	15	0	0	501	0	0	
1008432	583	49	5	0	538	9	0	
1008450	147	0	0	0	147	0	0	
1008553	468	0	1	0	467	0	0	
1008647	624	3	5	0	618	2	0	
1008674	698	15	0	0	688	5	0	
1008731	642	31	5	0	626	20	0	
1008955	436	0	4	0	432	0	0	
1009055	226	0	0	0	226	0	0	
1009242	946	0	0	0	946	0	0	
1009354	7331	0	36	0	7353	58	0	
1009420	5944	315	37	0	5857	265	0	
1009541	1722	267	8	0	1477	30	0	
1009729	330	30	0	0	300	0	0	
1009756	573	0	1	0	573	1	0	
1009804	6801	600	13	0	6209	21	0	
1009813	142	13	0	0	131	2	0	
1009831	1754	0	30	0	1833	109	0	
1009840	216	30	0	0	212	26	0	
1009952	210	15	17	0	187	9	0	
1010015	525	15	2	0	548	40	0	
1010051	262	60	0	0	203	1	0	
1010471	1424	0	0	0	1492	68	0	
1010761	609	45	2	0	599	37	0	
1010930	29488	2228	461	0	29138	2339	0	
1011432	631	15	2	0	643	29	0	
