"IDRSSD"	RCFD3561	RCFD3562	RCFD7701	RCFD7702	RCON3561	RCON3562	RCON7701	RCON7702	
	NO. OF LOANS TO EXECUTIVE OFFICERS	TOT DOLLAR AMT OF LNS TO EXEC OFFCRS	RGE OF INT CHG ON LNS TO EXEC OFF-FR	RGE OF INT CHG ON LNS TO EXEC OFF-TO	NO. OF LOANS TO EXECUTIVE OFFICERS	TOT DOLLAR AMT OF LNS TO EXEC OFFCRS	RGE OF INT CHG ON LNS TO EXEC OFF-FR	RGE OF INT CHG ON LNS TO EXEC OFF-TO	
37					2	110	0.0700	0.0700	
242					1	19	0.0575	0.0575	
279					1	8	0.0600	0.0600	
354					0	0	0.0000	0.0000	
439					2	16	0.0575	0.0575	
457					0	0	0.0000	0.0000	
505					0	0	0.0000	0.0000	
1146					0	0	0.0000	0.0000	
1155					0	0	0.0000	0.0000	
1351					0	0	0.0000	0.0000	
1454					0	0	0.0000	0.0000	
1557					0	0	0.0000	0.0000	
1632					1	99	0.0550	0.0550	
1669					2	73	0.0650	0.1150	
1829					1	80	0.0587	0.0587	
1856					0	0	0.0000	0.0000	
2040					1	16	0.0650	0.0650	
2161					4	51	0.0325	0.0963	
2376					1	500	0.0600	0.0600	
2451					3	30	0.0500	0.0700	
2554					0	0	0.0000	0.0000	
2732					0	0	0.0000	0.0000	
2750					2	128	0.0700	0.0800	
2938					0	0	0.0000	0.0000	
2956					0	0	0.0000	0.0000	
3252					3	205	0.0775	0.0775	
3458					0	0	0.0000	0.0000	
3506					0	0	0.0000	0.0000	
3579					4	260	0.0575	0.0599	
3720					0	0	0.0000	0.0000	
3953					0	0	0.0000	0.0000	
4138					1	56	0.0601	0.0601	
4147					0	0	0.0000	0.0000	
4156					0	0	0.0000	0.0000	
4231					1	40	0.0575	0.0700	
4437					2	18	0.0825	0.1225	
4745					3	24	0.1200	0.1200	
4839					0	0	0.0000	0.0000	
5005					0	0	0.0000	0.0000	
5050					0	0	0.0000	0.0000	
5069					3	400	0.0725	0.0725	
5135					1	4	0.0400	0.0400	
5210					5	749	0.0363	0.0475	
5247					0	0	0.0000	0.0000	
5274					0	0	0.0000	0.0000	
5331					0	0	0.0000	0.0000	
5461					0	0	0.0000	0.0000	
5751					0	0	0.0000	0.0000	
5939					0	0	0.0000	0.0000	
6039					2	10	0.0490	0.0675	
6057					0	0	0.0000	0.0000	
6141					0	0	0.0000	0.0000	
6329					1	900	0.0475	0.0475	
6842					1	17	0.0600	0.0600	
6972					0	0	0.0000	0.0000	
7009					0	0	0.0000	0.0000	
7045					3	36	0.0700	0.0750	
7157					0	0	0.0000	0.0000	
7166					0	0	0.0000	0.0000	
7456					0	0	0.0000	0.0000	
7634					2	17	0.0475	0.0475	
8033					0	0	0.0000	0.0000	
8154					0	0	0.0000	0.0000	
8417					0	0	0.0000	0.0000	
8462					3	58	0.0575	0.0775	
8547					0	0	0.0000	0.0000	
8631					0	0	0.0000	0.0000	
9115					0	0	0.0000	0.0000	
9160					0	0	0.0000	0.0000	
9339					0	0	0.0000	0.0000	
9357					0	0	0.0000	0.0000	
9553					6	400	0.0505	0.0775	
9807					1	435	0.0712	0.0712	
9955					0	0	0.0000	0.0000	
10157					2	133	0.0795	0.1045	
10250					0	0	0.0000	0.0000	
10849					4	306	0.0625	0.0687	
10858					0	0	0.0000	0.0000	
11145					3	99	0.0500	0.0995	
11350					0	0	0.0000	0.0000	
11640					1	8	0.0700	0.0700	
11837					0	0	0	0	
12030					0	0	0.0000	0.0000	
12058					2	21	0.0850	0.0900	
12142					2	12	0.0725	0.0725	
12245					1	37	0.0625	0.0625	
12311	0	0	0.0000	0.0000					
12357					0	0	0.0000	0.0000	
12647					0	0	0.0000	0.0000	
12656					1	35	0.0800	0.0800	
12937					0	0	0.0000	0.0000	
12946					6	281	0.0475	0.0700	
12955					0	0	0.0000	0.0000	
13037					0	0	0.0000	0.0000	
13103					0	0	0.0000	0.0000	
13251					0	0	0.0000	0.0000	
13309					1	25	0.0525	0.0525	
13457					0	0	0.0000	0.0000	
14052					1	25	0.0750	0.0750	
14155					1	40	0.0800	0.0800	
14258					2	466	0.0375	0.0638	
14409	0	0	0.0000	0.0000					
14454					0	0	0.0000	0.0000	
14650					0	0	0.0000	0.0000	
14753					1	5	0.0500	0.0500	
14865					0	0	0.0000	0.0000	
14931					0	0	0.0000	0.0000	
14940					0	0	0.0000	0.0000	
15536					0	0	0.0000	0.0000	
15732					0	0	0.0000	0.0000	
16337					1	275	0.0550	0.0550	
16355					0	0	0.0000	0.0000	
16458					0	0	0.0000	0.0000	
16551					0	0	0.0000	0.0000	
