"IDRSSD"	RIAD3582	RIAD3583	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD3590	RIAD3591	RIAD4266	RIAD4267	RIAD4481	RIAD4482	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4653	RIAD4654	RIAD4655	RIAD4658	RIAD4659	RIAD4662	RIAD4663	RIAD4664	RIAD4665	RIAD4668	RIAD4669	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIADB512	RIADB513	RIADB514	RIADB515	RIADB516	RIADB517	RIADC217	RIADC218	RIADC234	RIADC235	
	CHG-OFFS ON CONSTRCTN&LAND DEVLPMT	RECVRS ON CONSTRCTN&LAND DEVLPMT LNS	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFFS ON LNS SECD BY NONFARM NONR	RECVRS ON LNS SECD BY NONFARM NONRES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	CHG-OFF ON LOANS TO DEPOSITORY INST	RECOV ON LOANS TO DEPOSITORY INST	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHRGE-OFFS ON LNS TO U.S. DEP INST	CHRGE-OFFS ON INS TO FOREIGN BANKS	CHARGE-OFFS ON LOANS TO FARMERS	CHRG-OFF LEASE FNC RCVBL US ADDR	CHRG-OFF LEASE FNC RCVBL NON US ADDR	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOV ON LOANS TO U.S. DEPOSITORY IN	RECOVERIES ON LOANS TO FOREIGN BANKS	RECOVERIES ON LOANS TO FARMERS	RECOV ON LEASE FIN RECEIVABLE-US ADD	RCVRY LEASE FNC RCVBL NON US ADD	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	CHARGE-OFFS ON: OTHER INDIV LOANS	RECOVERIES ON: OTHER INDIV LOANS	RCVRS ON CLSD-ED LNS:SECD FRST LIENS	RCVRS ON CLSD-ED LNS:SECURD JR LIENS	CHRG-OFFS CLSD-END:SECURED 1ST LIENS	CHRG-OFFS CLSD-END:SECURED JR LIENS	
326250	0	0	0	0	0	0	0	0	0	0	0	0	8	0			0	0	29	0	0	0						0						0			0	0	0	0			6	1	23	7	0	0	0	0	
326344	0	0	0	0	0	0	0	0	0	0	0	0	12	0			0	11	10	0	0	0						0						0			0	0	0	0			5	0	5	1	0	0	0	0	
326670	0	0	0	0	0	0	0	0	0	0	0	0	5	1			0	0	90	85	0	0						0						0			0	0	0	0			0	0	3	2	2	0	2	0	
326858	0	0	0	0	0	0	0	0	0	0	0	0	37	14		0	0	0	103	3	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0			0	0	100	23	0	0	0	0	
326979	0	0	0	0	0	0	0	0	0	0	0	0	29	28			0	0	0	0	0	0						0						0			0	0	0	0			0	0	0	1	0	0	0	0	
327015	0	0	0	0	0	0	0	0	0	0	0	0	2	1			0	0	131	0	0	0						0						0			0	0	0	0			0	0	66	1	0	0	65	0	
327220	0	0	0	0	0	0	0	0	0	0	0	0	13	9			0	0	10	0	0	0						0						0			0	0	0	0			0	0	10	4	0	0	0	0	
327305	0	0	0	0	0	0	95	0	0	0	0	0	4	1			0	0	211	40	0	0						0						0			0	0	0	0			4	0	72	3	0	0	0	0	
327435	0	0	0	0	0	0	0	0	0	0	0	0	16	0			0	0	55	10	0	0						0						0			0	0	0	0			0	0	45	16	0	0	0	0	
327453	0	0	0	0	0	0	0	1	0	0	0	0	47	35			0	2	27	10	0	0						0						0			0	0	0	0			0	0	17	9	0	0	0	0	
327556	0	4	0	0	0	0	0	0	0	0	0	0	6	0			0	1	15	0	0	0						0						1			0	0	0	0			0	0	15	1	0	0	0	0	
327855	0	0	0	0	0	0	0	0	0	0	0	0	19	4			0	0	52	0	0	0						0						0			0	0	0	0			0	0	52	15	0	0	0	0	
327949	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0						0			0	0	0	0			0	0	0	0	0	0	0	0	
328058	0	0	0	0	0	0	1	13	0	0	0	0	84	69			0	0	2	0	0	0						0						0			0	0	0	0			0	0	1	2	0	0	0	0	
328151	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0						0			0	0	0	0			0	0	0	0	0	0	0	0	
328357	0	0	0	0	0	0	0	0	0	0	0	0	10	0			0	0	16	0	0	0						0						0			0	0	0	0			0	0	16	10	0	0	0	0	
328423	0	0	0	0	0	0	1	0	0	0	11	0	96	9		0	0	0	413	42	0	3		0	0		0	0		0	0		0	0		0	0	0	3	2			0	0	296	74	0	11	33	24	
328450	0	0	0	0	0	0	0	0	0	0	0	0	12	3			0	1	196	12	0	113						113						1			0	3	0	0			0	0	56	8	0	0	15	0	
328553	0	0	0	0	0	0	0	0	0	0	0	0	55	0		0	0	19	63	1	0	39		0	0		0	0		0	0		0	0		0	0	0	0	0			0	0	23	1	0	35	0	0	
328656	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0						0			0	0	0	0			0	0	0	0	0	0	0	0	
328777	0	0	0	0	0	0	0	0	0	0	0	0	10	0		0	0	0	0	0	0	0		0	0		0	0		0	10		0	0		0	0	0	0	0			0	0	0	0	10	0	0	0	
329149	0	0	0	0	0	0	0	0	0	0	0	0	1	0			0	0	73	50	0	0						0						0			0	0	0	0			0	0	23	1	0	0	0	0	
329345	0	0	0	0	0	0	14	0	0	0	0	0	8	0			0	0	64	0	0	0						0						0			0	0	0	0			0	0	39	8	0	0	11	0	
329550	4	1	0	0	0	0	0	0	0	0	0	0	97	18		0	0	0	68	0	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0			0	0	45	70	0	8	0	19	
329578	0	0	0	0	0	0	0	59	0	0	0	0	60	0			0	0	0	0	0	0						0						0			0	0	0	0			0	0	0	0	0	1	0	0	
329756	0	0	0	0	0	0	0	0	0	0	0	0	7	0			0	0	28	0	0	0						0						0			0	0	0	0			0	0	28	7	0	0	0	0	
329952	0	0	0	0	0	0	0	0	0	0	0	0	15	8			0	0	23	16	0	0						0						0			0	0	0	0			0	0	7	7	0	0	0	0	
