"IDRSSD"	RCON0030	RCON0031	RCON0032	RCON2211	RCON2229	RCON2314	RCON2315	RCON2351	RCON2383	RCON2702	RCON2710	RCON2722	RCON3510	RCON3512	RCON3514	RCON3520	RCON3779	RCON5514	RCON5515	RCON5516	RCON5517	RCON5596	RCON5597	RCON8432	RCON8785	RCONA181	RCONA182	RCONA527	RCONA528	RCONA531	RCONA532	RCONA533	RCONA545	TEXTA545	
	UNPOSTED DEBITS	UNPOSTED DEBITS FOR DEMAND DEPOSITS	UNPOSTED DEBITS FOR TIME&SAVING DEPS	DEMAND DEPS OF CONSOL SUBS	DEM DEP OF INSURED BR-PR,US TERR&POS	RES BALS PASSED THRU AS DEMAND DEPS	RES BALS PASSED THRU AS TIME&SVG DEP	TIME & SVG DEPS OF CONSOL SUBS	TIM&SAV DEP OF INS BR-PR,US TERR&POS	TOTAL DEPOSITS $100,000 OR LESS	TOTAL DEPOSITS > $100,000	TOT DEPS - NUM OF ACCTS > $100,000	UNPOSTED CREDITS	UNPOSTED CREDITS-DEMAND DEPOSITS	UNPOSTED CREDITS-TIME & SAVINGS DEPS	UNINVESTED TRUST FUNDS HELD	# OF DEP ACCTS OF $100,000 OR LESS	INT ACCRD&UNPD ON DEPS OF CNSLD SUBS	INT ACCRD&UNPD ON DEPS IN INSRD BRCH	UNAMORTZD PREMIUMS ON TIME&SVGS DEPS	UNAMORTZD DISCOUNT ON TIME&SVGS DEPS	DEPOSITS IN LIFELINE ACCOUNTS	ESTIMATE OF UNINSURED DEPOSITS	BENFT-RESPNSV DEPSTRY INSTN INVSTMT	AMT DEM DEP REDUC IF BALS REP NET BS	INCR IN DEM DEP IF RECIP BAL GROSS	DECR IN DEM DEP IF CIPC INCLUDED	AMT OF ASSETS NETTED AGST DMND DEPS	AMT OF ASSETS NETTED AGST SVGS DEPS	TOTL DEPS PURCHD/ACQRD FROM OTH FDIC	AMT OF PURCHD/ACQRD DPS RPTD IN A531	TOTL DEPS SOLD OR TRNSFRD DURING QTR	PB/PSA FDIC CERTIFICATE NUMBER	PB/PSA FDIC CERTIFICATE NUMBER	
37	0	0	0	0		0	0	0		42071	14220	98	0	0	0	0		0		0	0		5582	0	0	0	0	0	0	0	0	0	0		
242	0			0		0	0	0		16614	4023	27	0			0		0		0	0		632	0	0	0	0	0	0	0	0	0			
279	0	0	0	0		0	0	0		64301	13401	107	0	0	0	0		0		0	0		8094	0	0	0	0	0	0	0	0	0	0		
354	0	0	0	0		0	0	0		6618	749	2	0	0	0	0		0		0	0		549	0	0	0	0	0	0	0	0	0	0		
439	0	0	0	0		0	0	0		100112	28144	146	0	0	0	0		0		0	0		13844	0	0	0	0	0	0	0	0	0	0		
457	0	0	0	0		0	0	0		15174	2477	14	0	0	0	0		0		0	0		1155	0	0	0	0	0	0	0	0	0	0		
505	0	0	0	0		0	0	0		140975	79006	321	0	0	0	0		0		0	0		58299	0	0	0	0	0	0	0	0	0	0		
1146	0	0	0	1365		0	0	10		170200	123160	583	0	0	0	0		0		0	0		64860	0	0	0	0	0	0						
1155	0	0	0	0		0	0	0		81948	25062	121	0	0	0	0		0		0	0		12962	0	0	0	0	0	0	0	0	0	0		
1351	0	10	0	0		0	0	0		40012	35959	181	0	0	0	0		0		0	0		17859	0	0	0	0	0	0	0	0	0	0		
1454	0	0	0	0		0	0	0		171392	86235	341	0	0	0	0		0		0	0		33356	0	0	0	0	0	0	0	0	0	0		
1557	0	0	0	0		0	0	0		23667	4860	30	0	0	0	0		0		0	0		7014	0	0	0	0	0	0	0	0	0	0		
1632	65	0	0	0		0	0	0		93732	73109	179	5	0	0	0		0		0	0		55250	0	0	0	0	0	0	0	0	0	0		
1669	0	0	0	0		0	0	0		145761	55274	189	0	0	0	0		0		0	0		31818	0	0	0	0	0	0	0	0	0	0		
1829	0	0	0	0		0	0	0		161818	52466	253	0	0	0	0		0		0	0		27771	0	0	0	0	0	0	0	0	0	0		
1856	0	0	0	0		0	0	0		6619	1667	8	0	0	0	0		0		0	0		199	0	0	0	0	0	0	0	0	0	0		
2040	1	0	0	0		0	0	0		64454	35673	131	0	0	0	0		0		0	0		25025	0	0	0	0	0	0	0	0	0	0		
2161	0	0	0	0		0	0	0		55433	34715	186	0	0	0	0		0		0	0		16093	0	0	0	0	0	0	0	0	0	0		
2376	0	0	0	109		0	0	0		507090	79453	584	0	0	0	0		0		0	0		21053	0	0	0	0	0	0	0	0	0	0		
2451	1	0	0	186		0	0	0		8320	1450	9	0	0	0	0		0		0	0		515	0	0	0	0	0	0	0	0	0	0		
2554	0	0	0	0		0	0	0		5135	500	3	0	0	0	0		0		0	0		100	0	0	0	0	0	0	0	0	0	0		
2732	0	0	0	0		0	0	0		190078	159652	486	0	0	0	0		0		0	0		86755	0	0	0	0	0	0	0	0	0	0		
2750	0	0	0	0		0	0	0		26580	11216	65	0	0	0	0		0		0	0		5513	0	0	0	0	0	0	0	0	0	0		
2938	0	0	0	0		0	0	0		73012	99574	240	0	0	0	0		0		0	0		24350	0	0	0	0	0	0	0	0	0	0		
2956	0	0	0	0		0	0	0		76667	31397	147	0	0	0	0		0		0	0		16697	0	0	0	0	0	0	0	0	0	0		
3252	0	0	0	0		0	0	0		44550	33311	129	0	0	0	0		0		0	0		578	0	0	0	0	0	0	0	0	0	0		
3458	0	0	0	0		0	0	0		10138	8371	37	0	0	0	0		0		0	0		270	0	0	0	0	0	0	0	0	0	0		
3506	0	0	0	956		0	0	7730		487977	268955	1069	0	0	0	0		0		0	0		162055	0	0	0	0	0	0						
3579	0	0	0	0		0	0	0		95200	64372	305	0	0	0	0		0		0	0		30500	0	0	0	0	0	0	0	0	0	0		
3720	0	0	0	0		0	0	0		72281	27002	138	0	0	0	0		0		0	0		783	0	0	0	0	0	0	0	0	0	0		
3953	0	138	460	0		0	0	0		38581	16277	99	0	0	0	0		0		0	0		16420	0	0	0	0	0	0	0	0	0	0		
4138	13	0	0	0		0	0	0		98070	37058	206	4	0	0	0		0		0	0		28858	0	0	0	0	0	0	0	0	0	0		
4147	0	0	0	0		0	0	0		59666	18989	94	0	0	0	0		0		0	0		6662	0	0	0	0	0	0	0	0	0	0		
4156	0	0	0	0		0	0	0		38891	18597	0	0	0	0	0		0		0	0		11197	0	0	0	0	0	0	0	0	0	0		
4231	0	0	0	0		0	0	0		50562	24590	102	0	0	0	0		0		0	0		14390	0	0	0	0	0	0	0	0	0	0		
4437	0	0	0	0		0	0	0		85598	34621	213	0	0	0	0		0		0	0		13321	0	0	0	0	0	0	0	0	0	0		
4745	0	0	0	0		0	0	0		5533	2725	14	0	0	0	0		0		0	0		281	0	0	0	0	0	0	0	0	0	0		
4839	0	0	0	0		0	0	0		107012	63273	246	0	0	0	0		0		33	0		38673	0	0	0	0	0	0	0	0	0	0		
5005	0	0	0	48		0	0	12		160035	64068	338	0	0	0	0		0		0	0		27630	0	0	0	0	0	0	0	0	0	0		
5050	0	0	0	0		0	0	0		47518	28194	91	0	0	0	0		0		0	0		23336	0	0	0	0	0	0	0	0	0	0		
5069	0	125	0	221		0	0	0		163533	62208	243	0	0	0	0		0		0	0		26236	0	0	0	0	0	0	0	0	0	0		
5135	0	0	0	0		0	0	0		46937	26294	149	0	0	0	0		0		0	0		11394	0	0	0	0	0	0	0	0	0	0		
5210	0	0	0	0		0	0	0		441168	71210	390	0	0	0	0		0		0	0		57379	0	0	0	0	0	0	0	0	0	0		
5247	0	0	0	0		0	0	0		606099	201202	957	0	0	0	0		0		0	0		105502	0	0	0	0	0	0	0	0	0	0		
5274	0	0	0	10		0	0	125		57035	20371	76	0	0	0	0		0		0	0		12771	0	0	0	0	0	0	0	0	0	0		
5331	0	0	0	2124		0	0	60		136852	52646	261	0	0	0	0		0		0	0		46799	0	0	0	0	0	0	0	0	0	0		
5461	0	0	0	0		0	0	0		74949	124569	435	0	0	0	0		0		0	0		81069	0	0	0	0	0	0	0	0	0	0		
5751	0	2	0	0		0	0	0		34039	34654	118	0	0	0	0		0		0	0		14326	0	0	0	0	0	0	0	0	0	0		
5939	0	0	0	0		0	0	0		1707129	432452	2842	0	0	0	0		0		0	0		148252	0	0	0	0	0	0	0	0	0	0		
6039	0	0	0	0		0	0	0		50243	20816	90	0	0	0	0		0		0	0		11816	0	0	0	0	0	0	0	0	0	0		
6057	0	0	0	0		0	0	0		9288	3312	18	0	0	0	0		0		0	0		1512	0	0	0	0	0	0	0	0	0	0		
6141	0	0	0	0		0	0	0		20056	7844	37	0	0	0	0		0		0	0		4144	0	0	0	0	0	0	0	0	0	0		
6329	0	0	0	0		0	0	0		115068	73842	345	0	0	0	0		0		0	0		35114	0	0	0	0	0	0	0	0	0	0		
6842	0	0	0	0		0	0	0		16813	4024	33	0	0	0	0		0		0	0		1318	0	0	0	0	0	0	0	0	0	0		
6972	0	0	0	0		0	0	0		346960	205377	736	0	0	0	0		0		0	0		131777	0	0	0	0	0	0	0	0	0	0		
7009	0	0	0	0		0	0	4456		48407	385586	516	0	0	0	0		1		0	0		333986	0	0	0	0	0	0	0	0	0	0		
7045	0	0	0	0		0	0	0		50920	27593	94	0	0	0	0		0		0	0		18193	0	0	0	0	0	0	0	0	0	0		
7157	0	0	0	0		0	0	0		21636	4812	28	0	0	0	0		0		0	0		2245	0	0	0	0	0	0	0	0	0	0		
7166	0	0	0	0		0	0	0		188129	201319	641	0	0	0	0		0		0	0		137219	0	0	0	0	0	0	0	0	0	0		
7456	0	0	0	0		0	0	0		27863	6612	30	0	0	0	0		0		0	0		4564	0	0	0	0	0	0	0	0	0			
7634	0	0	0	0		0	0	0		23734	9111	51	0	0	0	0		0		0	0		4527	0	0	0	0	0	0	0	0	0	0		
8033	0	0	0	0		0	0	0		28933	12382	39	0	0	0	0		0		0	0		8876	0	0	0	0	0	0	0	0	0	0		
8154	0	0	0	0		0	0	0		29520	7472	33	0	0	0	0		0		0	0		750	0	0	0	0	0	0	0	0	0	0		
8417	0	0	0	0		0	0	0		312269	2097894	901	0	0	0	0		0		0	0		732553	0	0	0	0	0	0	0	0	0	0		
8462	32	0	0	0		0	0	0		27575	26295	129	2	0	0	0		0		0	0		13395	0	0	0	0	0	0	0	0	0	0		
8547	0			0		0	0	0		207561	63894	343	0			0		0		0	0		29594	0	0	0	0	0	0	0	0	0			
8631	0	0	0	0		0	0	0		30526	9383	51	0	0	0	0		0		0	0		4283	0	0	0	0	0	0						
9115	0	0	0	0		0	0	0		883222	744223	1746	0	0	0	0		0		0	0		236635	0	0	0	0	0	0	0	0	0	0		
9160	2	0	0	0		0	0	0		93429	26395	152	0	0	0	0		0		0	0		11195	0	0	0	0	0	0	0	0	0	0		
9339	0	48	46	0		0	0	0		176845	74219	584	0	0	0	0		0		0	0		73635	0	0	0	0	0	0	0	0	0	0		
9357	0	0	0	0		0	0	0		49615	187237	385	0	0	0	0		0		0	0		148029	0	0	0	0	0	0	0	0	0	0		
9553	0	0	0	0		0	0	0		34767	11781	62	0	0	0	0		0		0	0		4	0	0	0	0	0	0	0	0	0	0		
9807	0	0	0	0		0	0	0		718383	660805	1820	0	0	0	0		0		0	0		359404	0	0	0	0	0	0	0	0	0	0		
9955	0			0		0	0	0		53031	25366	77	0			0		0		0	0		2975	0	0	0	0	0	0	0	0	0			
10157	0	0	0	0		0	0	0		45579	10764	47	0	0	0	0		0		0	0		11802	0	0	0	0	0	0	0	0	0	0		
