"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37															0	260	266	1412	53	73	0	0	0	0	0	813	0	0				
242															0	133	0	342	0	7				0	0	202	0	0				
279															15	1225	8	2045	31	101	0	0	0	0	0	711	27	0				
354															0	5	0	125	0	1	0	0	0	0	0	119	0	0				
439															0	0	291	1946	278	521	0	0	0	0	0	1134	0	0				
457															0	5	88	780	0	395	0	0	0	0	0	292	382	0				
505															0	1419	49	5225	1109	2491	904	0	0	0	0	1266	0	0	SPLIT DOLLAR RECEIVABLE                                                                                                                                                                          			
1146															0	2285	0	12380	0	9265	5405	0	0	0	0	830	0	0	LTC-TITLE PLANT INVESTMENT                                                                                                                                                                       			
1155															0	462	295	1991	51	102	0	0	0	0	0	1132	0	0				
1351															0	0	184	1264	29	29	0	0	0	0	0	1051	0	0				
1454															0	1068	0	3720	596	765	0	0	0	0	0	1887	0	0				
1557															0	23	0	772	41	94	0	0	0	0	0	655	0	0				
1632															15	800	751	4390	0	1317	0	0	0	0	0	1522	950	0				
1669															0	682	94	3544	274	287	0	0	0	0	0	2481	0	0				
1829															0	964	0	3005	559	1489	916	0	0	0	0	552	0	0	AIR Investments                                                                                                                                                                                  			
1856															0	20	0	282	23	69	25	0	0	0	0	193	0	0	Int E&A-Other Securities                                                                                                                                                                         			
2040															5	932	325	2462	291	393	70	26	0	0	0	812	0	0	Petroleum clean up receivables                                                                                                                                                                   	Computer software                                                                                                                                                                                		
2161															0	198	0	1018	0	450	282	0	0	0	0	370	0	0	Accrued US Government Agency                                                                                                                                                                     			
