RCON0211,RCON1039,RCON1041,RCON1042,RCON1043,RCON1044,RCON1209,RCON1280,RCON1281,RCON1282,RCON1287,RCON1374,RCON1709,RCON1713,RCON1733,RCON1736,RCON1752,RCON1754,RCON1773,RCON2155,RCON2163,RCON2192,RCON2920,RCON2941,RCON3129,RCON3190,RCON3545,RCON3548,RCON8492,RCON8495,RCON8496,RCON8499,RCONA510,RCONB989,RCONB995,RCONG389,RCONG390,RCONG393,RCONG394,RCONG397,RCONG398,RCONG399,RCONG400,RCONHT71,RCONJA22,RCONJF75,IDRSSD,RCON9999
0,,,,,,,,,,0,,0,0,0,0,160,0,27275,,,,,,,0,0,0,,,0,5291,0,0,0,,,,,,,,,,,,37,2006-09-30
0,,,,,,,,,,1092,,0,0,0,0,153,0,7291,,,,,,,2812,0,0,,,0,755,0,0,310,,,,,,,,,,,,242,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,1475,45473,21795,,,,,,,27731,0,0,,,4162,1122,0,0,0,,,,,,,,,,,,279,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,5,0,3484,,,,,,,0,0,0,,,0,0,0,0,0,,,,,,,,,,,,354,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,339,0,24453,,,,,,,0,0,0,,,0,2214,0,0,0,,,,,,,,,,,,439,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,128,933,460,,,,,,,1200,0,0,,,359,264,0,0,0,,,,,,,,,,,,457,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,2492,0,75062,,,,,,,32150,0,0,,,0,4403,0,0,0,,,,,,,,,,,,505,2006-09-30
0,,,,,,,,,,7911,,0,0,0,0,2892,150,54674,,,,,,,39253,0,0,,,150,0,893,0,0,,,,,,,,,,,,1146,2006-09-30
0,,,,,,,,,,1483,,0,0,0,0,741,3108,36602,,,,,,,3000,0,0,,,2846,17373,0,0,25898,,,,,,,,,,,,1155,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,0,36051,3920,,,,,,,0,0,0,,,9263,0,0,0,0,,,,,,,,,,,,1351,2006-09-30
0,,,,,,,,,,995,,0,0,0,0,1096,0,144530,,,,,,,0,0,0,,,0,32606,5,0,0,,,,,,,,,,,,1454,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,132,1761,11829,,,,,,,2147,0,0,,,1761,145,0,0,0,,,,,,,,,,,,1557,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,1344,0,33744,,,,,,,9000,0,0,,,0,3931,0,0,5587,,,,,,,,,,,,1632,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,426,68077,47370,,,,,,,898,0,0,,,9861,0,0,0,0,,,,,,,,,,,,1669,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,2004,0,94997,,,,,,,15219,0,0,,,0,44092,2103,0,2168,,,,,,,,,,,,1829,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,4620,107461,80203,,,,,,,84675,0,0,,,2171,0,0,0,25000,,,,,,,,,,,,1856,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,1194,0,27042,,,,,,,21911,0,0,,,0,21346,349,0,0,,,,,,,,,,,,2040,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,251,77,27642,,,,,,,0,0,0,,,0,6114,0,0,0,,,,,,,,,,,,2161,2006-09-30
0,,,,,,,,,,0,,0,0,2168,0,10917,267463,26454,,,,,,,203866,0,0,,,0,0,8429,0,0,,,,,,,,,,,,2376,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,606,0,0,,,,,,,5864,0,0,,,0,0,0,0,0,,,,,,,,,,,,2451,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,0,3,2564,,,,,,,0,0,0,,,0,50,0,0,0,,,,,,,,,,,,2554,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,181,0,67272,,,,,,,354,0,0,,,0,42779,0,0,0,,,,,,,,,,,,2732,2006-09-30
0,,,,,,,,,,492,,0,0,0,0,466,0,13780,,,,,,,7825,0,0,,,0,955,0,0,0,,,,,,,,,,,,2750,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,1428,0,44788,,,,,,,15500,0,0,,,0,3394,0,0,2705,,,,,,,,,,,,2938,2006-09-30
0,,,,,,,,,,0,,0,0,0,836,295,7114,34565,,,,,,,2370,0,0,,,2017,9297,0,0,0,,,,,,,,,,,,3252,2006-09-30
0,,,,,,,,,,1275,,0,0,0,0,177,2167,7021,,,,,,,0,0,0,,,1350,0,0,0,1575,,,,,,,,,,,,3458,2006-09-30
0,,,,,,,,,,0,,0,0,0,2944,11369,30687,274958,,,,,,,154908,0,0,,,29968,38819,0,0,12263,,,,,,,,,,,,3506,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,565,13608,42171,,,,,,,4942,0,0,,,13608,0,0,0,4416,,,,,,,,,,,,3720,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,961,0,0,,,,,,,392,0,0,,,0,0,0,0,0,,,,,,,,,,,,3953,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,914,0,33967,,,,,,,2505,0,0,,,0,4016,0,0,0,,,,,,,,,,,,4138,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,2536,0,25922,,,,,,,13000,0,0,,,0,15465,0,0,0,,,,,,,,,,,,4147,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,1336,0,39787,,,,,,,25100,0,0,,,0,26152,0,0,0,,,,,,,,,,,,4156,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,0,0,54897,,,,,,,0,0,0,,,0,9817,0,0,2000,,,,,,,,,,,,4231,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,946,3166,36787,,,,,,,10875,0,0,,,3166,13364,0,0,2961,,,,,,,,,,,,4437,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,1595,0,71912,,,,,,,27900,0,0,,,0,23550,0,0,7616,,,,,,,,,,,,4839,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,3282,1978,69918,,,,,,,41612,0,0,,,100,4955,17147,0,0,,,,,,,,,,,,5005,2006-09-30
0,,,,,,,,,,1001,,0,0,0,0,0,0,2160,,,,,,,0,0,0,,,0,1159,0,0,0,,,,,,,,,,,,5069,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,875,0,42220,,,,,,,8000,0,0,,,0,2590,0,0,0,,,,,,,,,,,,5135,2006-09-30
0,,,,,,,,,,0,,0,0,0,0,10810,16884,331766,,,,,,,186262,0,0,,,131,23349,0,0,21634,,,,,,,,,,,,5210,2006-09-30
