RCON0211,RCON1039,RCON1041,RCON1042,RCON1043,RCON1044,RCON1209,RCON1280,RCON1281,RCON1282,RCON1287,RCON1374,RCON1709,RCON1713,RCON1733,RCON1736,RCON1752,RCON1754,RCON1773,RCON2155,RCON2163,RCON2192,RCON2920,RCON2941,RCON3129,RCON3190,RCON3545,RCON3548,RCON8492,RCON8495,RCON8496,RCON8499,RCONA510,RCONB989,RCONB995,RCONG389,RCONG390,RCONG393,RCONG394,RCONG397,RCONG398,RCONG399,RCONG400,RCONHT71,RCONJA22,RCONJF75,IDRSSD,RCON9999
0,,,,,,,,,,0,,0,0,0,0,328,0,59269,,,,,,,0,0,0,,,0,9422,0,0,0,,,,,,,,,,,,5751,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,583,0,4846,,,,,,,0,0,0,,,0,440,6,0,0,,,,,,,,,,,,6039,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,0,13115,0,,,,,,,0,0,0,,,4127,0,0,0,0,,,,,,,,,,,,6141,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,1135,505,36108,,,,,,,0,0,0,,,505,12272,0,0,0,,,,,,,,,,,,6329,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,4933,58895,40033,,,,,,,103330,0,0,,,47499,21108,0,0,7217,,,,,,,,,,,,6972,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,0,0,464740,,,,,,,0,0,0,,,0,66628,5447,0,0,,,,,,,,,,,,7009,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,0,18894,21472,,,,,,,0,0,0,,,18894,5354,0,0,0,,,,,,,,,,,,7045,2009-03-31
0,,,,,,,,,,511,,0,0,0,0,23,0,13413,,,,,,,0,0,0,,,0,4787,0,0,0,,,,,,,,,,,,7157,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,296,390,13890,,,,,,,0,0,0,,,390,0,0,0,0,,,,,,,,,,,,7456,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,1180,16,7595,,,,,,,5000,0,0,,,0,4555,0,0,0,,,,,,,,,,,,7634,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,1523,0,6468,,,,,,,23022,0,0,,,0,1406,0,0,0,,,,,,,,,,,,8033,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,21,0,64183,,,,,,,0,0,0,,,0,6911,0,0,0,,,,,,,,,,,,8462,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,158,0,13075,,,,,,,0,0,0,,,0,0,0,0,0,,,,,,,,,,,,8631,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,4901,0,23578,,,,,,,38600,0,0,,,0,0,970,0,6138,,,,,,,,,,,,9357,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,755,0,5781,,,,,,,3537,0,0,,,0,839,0,0,0,,,,,,,,,,,,9553,2009-03-31
3721,,,,,,,,,,0,,0,0,17609,0,18386,329541,98040,,,,,,,305993,0,0,,,18383,0,0,0,63134,,,,,,,,,,,,9807,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,455,0,15913,,,,,,,2865,0,0,,,0,8583,0,0,0,,,,,,,,,,,,9955,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,583,227,16535,,,,,,,0,0,0,,,0,2553,0,0,0,,,,,,,,,,,,10157,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,2993,0,71537,,,,,,,40000,0,0,,,0,26933,0,0,0,,,,,,,,,,,,10250,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,2528,67134,232,,,,,,,24265,0,0,,,27161,232,0,0,0,,,,,,,,,,,,10849,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,1453,37931,7183,,,,,,,21168,0,0,,,1874,0,15,0,19503,,,,,,,,,,,,10858,2009-03-31
0,,,,,,,,,,287,,0,0,0,0,1085,0,16951,,,,,,,12361,0,0,,,0,11960,0,0,0,,,,,,,,,,,,11145,2009-03-31
0,,,,,,,,,,0,,0,0,0,1292,3277,0,74674,,,,,,,30007,0,0,,,0,29129,0,0,0,,,,,,,,,,,,11640,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,936,0,40194,,,,,,,7000,0,0,,,0,6598,0,0,0,,,,,,,,,,,,11837,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,1788,1848,10676,,,,,,,0,0,0,,,0,0,0,0,0,,,,,,,,,,,,12030,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,738,1201,39495,,,,,,,2000,0,0,,,1185,7864,0,0,5558,,,,,,,,,,,,12142,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,395,0,27777,,,,,,,6000,0,0,,,0,13979,207,0,0,,,,,,,,,,,,12245,2009-03-31
,49921,1061274,119734,1172703,0,539236,1014987,726267,4750,,4693154,,,,,427772,,,,0,51061394,,1536014,46045043,3730446,420449,65481,,,,,4282,0,926655,,,,,,,,,,,,12311,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,310,5394,0,,,,,,,6200,0,0,,,3542,0,0,0,0,,,,,,,,,,,,12647,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,29,707,0,,,,,,,0,0,0,,,0,0,0,0,0,,,,,,,,,,,,12656,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,776,0,579,,,,,,,11,0,0,,,0,0,0,0,0,,,,,,,,,,,,12937,2009-03-31
0,,,,,,,,,,0,,0,0,0,4821,2723,0,68769,,,,,,,24845,0,0,,,0,35262,648,0,0,,,,,,,,,,,,12946,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,763,3601,2024,,,,,,,7000,0,0,,,3601,0,0,0,0,,,,,,,,,,,,12955,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,527,0,33470,,,,,,,0,0,0,,,0,3764,0,0,0,,,,,,,,,,,,13037,2009-03-31
0,,,,,,,,,,50,,0,0,0,0,12036,1247,179094,,,,,,,152469,0,0,,,0,0,61353,0,9787,,,,,,,,,,,,13103,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,140,0,6491,,,,,,,0,0,0,,,0,2329,0,0,0,,,,,,,,,,,,13251,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,0,0,4180,,,,,,,0,0,0,,,0,1591,1334,0,0,,,,,,,,,,,,13457,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,247,0,10737,,,,,,,4000,0,0,,,0,1638,0,0,0,,,,,,,,,,,,14052,2009-03-31
