RIAD3210,RIAD3217,RIAD4356,RIAD4415,RIAD4460,RIAD4470,RIADB507,RIADB508,RIADB509,RIADB510,RIADB511,IDRSSD,RCON9999
21177,20156,0,0,120,0,0,20156,0,0,418,37,2016-09-30
5396,5343,0,0,421,0,0,5343,0,0,73,242,2016-09-30
28278,27657,0,0,0,0,0,27657,1,0,-5,279,2016-09-30
1038,959,0,0,0,0,0,959,0,0,97,354,2016-09-30
4485,4530,0,0,697,0,0,4530,0,0,-2,457,2016-09-30
36341,35138,0,0,813,0,0,35138,0,0,314,505,2016-09-30
19537,18998,0,0,1415,0,0,18998,0,0,176,1155,2016-09-30
23666,23155,0,0,1449,0,0,23155,0,0,24,1351,2016-09-30
83297,75833,0,0,3300,0,0,75833,0,0,2701,1454,2016-09-30
11975,10733,0,0,0,0,0,10733,0,0,212,1557,2016-09-30
46915,44353,0,0,0,0,0,44353,0,0,633,1669,2016-09-30
49817,47723,0,0,1200,0,0,47723,0,0,1124,1829,2016-09-30
16809,15019,0,0,906,0,0,15019,0,0,1515,1856,2016-09-30
23085,22459,0,0,631,0,0,22459,0,0,159,2040,2016-09-30
16662,15942,0,0,620,0,0,15942,0,0,-10,2161,2016-09-30
469550,438261,0,0,0,0,0,438261,0,5232,-4890,2376,2016-09-30
1468,1360,0,0,40,0,0,1360,0,0,25,2554,2016-09-30
86576,83703,0,0,796,0,0,83703,0,0,667,2732,2016-09-30
7123,6857,0,0,310,0,0,6857,-1,0,43,2750,2016-09-30
105884,102486,0,0,3000,0,0,102486,575,0,591,3177,2016-09-30
25080,23782,0,0,1100,0,0,23782,0,0,382,3252,2016-09-30
4329,4031,0,0,0,0,0,4031,0,0,97,3458,2016-09-30
35117,33280,0,0,360,0,0,33280,0,0,185,3720,2016-09-30
111842,110241,0,0,0,0,0,110241,0,0,363,3971,2016-09-30
22717,22766,0,0,1225,0,0,22766,0,0,60,4156,2016-09-30
16487,15514,0,0,0,0,0,15514,0,0,377,4231,2016-09-30
39540,38279,0,0,1208,0,0,38279,0,0,336,4839,2016-09-30
182019,175840,0,0,10236,0,0,175840,0,0,542,5069,2016-09-30
61206,56688,0,0,0,0,0,56688,0,0,67,5135,2016-09-30
101088,95948,0,0,3628,0,0,95948,0,0,870,5210,2016-09-30
56435,50928,0,0,620,0,0,50928,0,0,2303,5461,2016-09-30
34621,33956,0,0,3300,0,0,33956,0,0,650,5751,2016-09-30
27640,8225,19062,0,669,0,0,8225,0,0,46,6039,2016-09-30
5956,5834,0,0,60,0,0,5834,0,0,0,6141,2016-09-30
53913,49741,0,0,625,0,0,49741,0,0,22,6329,2016-09-30
61694,57180,0,0,7000,0,0,57180,0,0,575,7009,2016-09-30
20239,19051,0,0,0,0,0,19051,0,0,410,7045,2016-09-30
32530,32036,0,0,0,0,0,32036,0,0,71,7072,2016-09-30
5099,4974,0,0,96,0,0,4974,0,0,63,7157,2016-09-30
7116,6468,0,0,204,0,0,6468,0,0,93,7456,2016-09-30
8539,7832,0,0,336,0,0,7832,0,0,233,7634,2016-09-30
28533,26166,0,0,500,0,0,26166,0,0,56,8033,2016-09-30
21670,19896,0,0,258,0,0,19896,0,0,347,8462,2016-09-30
7001,6794,0,0,120,0,0,6794,0,0,51,8631,2016-09-30
83593,78706,0,0,3089,0,0,78706,0,0,466,9357,2016-09-30
13404,12351,0,0,924,0,0,12351,0,0,256,9553,2016-09-30
313808,293659,0,0,11933,0,0,293659,0,0,2318,9807,2016-09-30
17955,17106,0,0,749,0,0,17106,0,0,146,9955,2016-09-30
37911,35511,0,0,1850,0,0,35511,0,0,994,10250,2016-09-30
27153,26065,0,0,0,0,0,26065,0,0,688,10849,2016-09-30
20894,19573,0,-40,360,0,0,19573,0,0,63,11145,2016-09-30
219395,147771,62751,0,0,0,0,147771,0,0,99,11275,2016-09-30
43659,40222,0,0,0,0,0,40222,0,0,-74,11640,2016-09-30
14329,13059,0,0,150,0,0,13059,0,0,272,11837,2016-09-30
53912,49514,0,0,2000,0,0,49514,0,0,-15,12030,2016-09-30
22731,20798,0,0,0,0,0,20798,0,0,691,12142,2016-09-30
7789,7685,0,0,0,0,0,7685,0,0,4,12179,2016-09-30
10479220,5966783,3886894,-337000,173500,7350,0,5966783,534435,0,54554,12311,2016-09-30
9625,9700,0,0,114,0,0,9700,0,0,0,12647,2016-09-30
1721,1687,0,0,0,0,0,1687,0,0,0,12656,2016-09-30
32981,32355,0,0,300,0,0,32355,0,0,0,12937,2016-09-30
137815,132309,0,0,13344,0,0,132309,0,0,2489,12946,2016-09-30
13603,13917,0,0,1980,0,0,13917,0,0,0,12955,2016-09-30
242160,225910,0,0,935,0,0,225910,0,0,6532,13103,2016-09-30
4723,4519,0,0,174,0,0,4519,0,0,4,13251,2016-09-30
6206,6016,0,0,0,0,0,6016,0,0,11,13457,2016-09-30
7265,7196,0,0,444,0,0,7196,0,0,13,14052,2016-09-30
18533,17877,0,0,1720,0,0,17877,0,0,167,14155,2016-09-30
3923,3679,0,0,122,0,0,3679,0,0,0,14650,2016-09-30
4786,4713,0,0,0,66,0,4713,0,0,-18,14753,2016-09-30
38670,36473,0,0,350,0,0,36473,0,0,-28,14865,2016-09-30
8528,8375,0,0,0,0,0,8375,0,0,-74,14977,2016-09-30
36152,32315,0,0,1000,0,0,32315,0,0,921,16551,2016-09-30
8290,7955,0,0,59,0,0,7955,0,0,13,16748,2016-09-30
20457,18781,0,0,3000,0,0,18781,0,0,0,17110,2016-09-30
972182,927774,1213,0,27500,0,0,927774,1076,0,5753,17147,2016-09-30
5883,5679,0,0,266,0,0,5679,0,0,134,17259,2016-09-30
359151,328770,16238,0,0,0,0,328770,5,0,1355,17464,2016-09-30
41572,37707,0,0,638,0,0,37707,0,0,1756,17950,2016-09-30
110544,108364,0,0,0,0,0,108364,0,0,0,17978,2016-09-30
56568,51282,0,0,2508,0,0,51282,0,0,1119,18050,2016-09-30
22907,21424,0,0,37,0,0,21424,0,0,1055,18135,2016-09-30
4985,4548,0,0,0,0,0,4548,0,0,130,18377,2016-09-30
129059,88759,33042,0,1845,0,0,88759,0,0,821,18827,2016-09-30
16599,15989,0,0,294,0,0,15989,0,0,85,18836,2016-09-30
57636,51426,0,0,5950,0,0,51426,0,0,0,18854,2016-09-30
9553,8536,0,0,436,0,-2,8534,0,0,598,19356,2016-09-30
256108,249577,0,0,9600,0,0,249577,0,0,987,19730,2016-09-30
25905,24411,0,0,1334,0,0,24411,0,0,34,19936,2016-09-30
18202,17338,0,0,0,0,0,17338,0,0,0,19972,2016-09-30
11943,11102,0,0,0,0,0,11102,0,0,100,20053,2016-09-30
30448,29503,0,0,0,0,0,29503,0,0,476,20633,2016-09-30
19340,21889,0,0,6035,0,0,21889,0,0,964,20857,2016-09-30
1125,1128,0,0,0,0,0,1128,0,0,-4,21256,2016-09-30
5677,5353,0,0,208,0,0,5353,0,0,44,21359,2016-09-30
11496,12167,0,0,1519,0,0,12167,0,0,-95,21630,2016-09-30
16165,15475,0,0,969,0,0,15475,0,0,633,21658,2016-09-30
19547,18689,0,0,1384,0,0,18689,0,0,17,22048,2016-09-30
13910,14351,0,0,0,0,0,14351,0,0,101,22543,2016-09-30
8607,8814,0,0,1153,0,0,8814,0,0,18,22552,2016-09-30
14882,13782,0,0,0,0,0,13782,0,0,379,22730,2016-09-30
19406,18666,0,0,0,0,0,18666,7,0,182,22936,2016-09-30
14144,13384,0,0,837,0,0,13384,0,0,277,23456,2016-09-30
455495,411106,0,8700,0,0,0,411106,1597,0,4730,23504,2016-09-30
20003,18281,0,0,1074,0,0,18281,0,0,587,23643,2016-09-30
18087,17221,0,0,895,0,0,17221,0,0,424,23755,2016-09-30
111506,112138,0,0,0,0,0,112138,0,0,-3031,24006,2016-09-30
7238,7130,0,0,0,0,0,7130,0,0,47,24378,2016-09-30
29762,28673,0,0,1200,0,0,28673,0,0,16,24453,2016-09-30
5778,5288,0,0,0,0,0,5288,0,0,0,24659,2016-09-30
129054,117321,0,0,656,0,0,117321,5183,0,397,24668,2016-09-30
56368,51889,0,0,0,0,0,51889,0,0,589,24949,2016-09-30
42466,43276,0,0,3309,0,0,43276,0,0,-686,25357,2016-09-30
8182,5349,0,3075,0,0,0,5349,0,0,-3,25647,2016-09-30
51468,49480,0,22,0,0,0,49480,0,0,56,26176,2016-09-30
55432,55381,0,0,2982,0,0,55381,0,0,291,26242,2016-09-30
3201,3151,0,0,50,0,0,3151,0,0,9,26457,2016-09-30
50664,45781,0,15,0,0,0,45781,0,0,584,26765,2016-09-30
