RIAD3210,RIAD3217,RIAD4356,RIAD4415,RIAD4460,RIAD4470,RIADB507,RIADB508,RIADB509,RIADB510,RIADB511,IDRSSD,RCON9999
15067,19972,0,0,6120,0,0,19972,0,0,587,37,2017-09-30
5463,5301,0,0,396,0,0,5301,0,0,89,242,2017-09-30
28974,28153,0,0,0,0,0,28153,1,0,164,279,2017-09-30
918,1000,0,0,0,0,0,1000,0,0,34,354,2017-09-30
4797,4611,0,0,540,0,0,4611,0,0,0,457,2017-09-30
37256,35923,0,0,853,0,0,35923,0,0,185,505,2017-09-30
20639,19599,0,0,1110,0,0,19599,0,0,95,1155,2017-09-30
24644,23918,0,0,735,0,0,23918,0,0,86,1351,2017-09-30
82684,72841,0,0,2700,0,0,72841,0,0,5123,1454,2017-09-30
10430,9872,0,0,0,0,0,9872,0,0,127,1557,2017-09-30
47034,44584,0,0,0,0,0,44584,0,0,227,1669,2017-09-30
15724,16090,0,0,2363,0,0,16090,0,0,880,1856,2017-09-30
22867,21771,0,0,220,0,0,21771,0,0,474,2040,2017-09-30
16626,15753,0,0,383,0,0,15753,0,0,201,2161,2017-09-30
537202,489783,0,0,0,0,0,489783,0,2307,5650,2376,2017-09-30
1598,1457,0,0,64,0,0,1457,0,0,53,2554,2017-09-30
89639,86838,0,0,865,0,0,86838,0,0,273,2732,2017-09-30
7176,7058,0,0,440,0,0,7058,-183,0,65,2750,2017-09-30
25159,23499,0,0,750,0,0,23499,0,0,202,3252,2017-09-30
4481,4265,0,0,0,0,0,4265,0,0,18,3458,2017-09-30
36416,34204,0,0,360,0,0,34204,0,0,446,3720,2017-09-30
113456,111967,0,0,5000,0,0,111967,0,0,288,3971,2017-09-30
22868,22259,0,0,940,0,0,22259,0,0,575,4156,2017-09-30
16245,15272,0,0,339,0,0,15272,0,0,767,4231,2017-09-30
40735,37553,0,0,754,0,0,37553,0,0,1977,4839,2017-09-30
187861,176826,0,0,10253,0,0,176826,0,0,284,5069,2017-09-30
65600,61404,0,0,434,0,0,61404,0,0,291,5135,2017-09-30
142678,100395,37897,0,3828,0,0,100395,0,0,685,5210,2017-09-30
56260,54149,0,0,2205,0,0,54149,0,0,401,5461,2017-09-30
34848,33417,0,0,1650,0,0,33417,0,0,288,5751,2017-09-30
28690,27636,0,0,0,0,0,27636,0,0,34,6039,2017-09-30
6198,5947,0,0,60,0,0,5947,0,0,0,6141,2017-09-30
61084,56033,0,1200,2125,0,0,56033,0,0,44,6329,2017-09-30
69469,61267,0,0,9000,0,0,61267,0,0,637,7009,2017-09-30
