RIAD3210,RIAD3217,RIAD4356,RIAD4415,RIAD4460,RIAD4470,RIADB507,RIADB508,RIADB509,RIADB510,RIADB511,IDRSSD,RCON9999
14270,14100,0,0,0,0,0,14100,0,0,-40,37,2006-03-31
3698,3676,0,0,93,0,0,3676,0,0,-21,242,2006-03-31
19331,19280,0,0,0,0,0,19280,0,0,-110,279,2006-03-31
937,925,0,0,0,0,0,925,0,0,-9,354,2006-03-31
27743,15098,12306,0,0,0,0,15098,0,0,-148,439,2006-03-31
2635,3239,0,0,750,0,0,3239,0,0,-1,457,2006-03-31
22097,22389,0,0,281,0,0,22389,0,0,-489,505,2006-03-31
38488,38379,0,0,376,0,0,38379,0,0,-147,1146,2006-03-31
12507,12156,0,0,160,0,0,12156,0,0,26,1155,2006-03-31
14195,13934,0,0,276,0,0,13934,0,0,-17,1351,2006-03-31
29829,28581,0,0,0,0,0,28581,0,0,-388,1454,2006-03-31
4496,4623,0,0,175,0,0,4623,0,0,-34,1557,2006-03-31
41910,39652,0,976,0,0,0,39652,0,0,-118,1632,2006-03-31
38690,38260,0,0,0,0,0,38260,0,0,-163,1669,2006-03-31
39616,39446,0,0,542,0,0,39446,0,0,-110,1829,2006-03-31
12642,13979,0,0,381,0,0,13979,0,0,-1668,1856,2006-03-31
15926,15831,0,0,0,0,0,15831,0,0,2,2040,2006-03-31
10021,9715,0,0,0,0,0,9715,0,0,-28,2161,2006-03-31
121427,119611,0,0,0,0,0,119611,0,0,-52,2376,2006-03-31
2966,2847,0,0,0,0,0,2847,0,0,0,2451,2006-03-31
595,692,0,0,92,0,0,692,0,0,-38,2554,2006-03-31
61470,60393,0,0,278,0,0,60393,0,0,-13,2732,2006-03-31
4681,4692,0,0,75,0,0,4692,0,0,-34,2750,2006-03-31
28512,28119,0,43,687,0,0,28119,0,0,-205,2938,2006-03-31
12008,11717,0,0,150,0,0,11717,0,0,-7,3252,2006-03-31
2454,2420,0,0,0,0,0,2420,0,0,-10,3458,2006-03-31
202396,200295,0,0,2100,0,0,200295,-145,0,-651,3506,2006-03-31
19486,19072,0,0,120,0,0,19072,0,0,-77,3720,2006-03-31
6825,6614,0,0,170,0,0,6614,0,0,0,3953,2006-03-31
16790,16957,0,0,373,0,0,16957,0,0,-126,4138,2006-03-31
13052,12996,0,0,0,0,0,12996,0,0,-52,4147,2006-03-31
14427,14217,0,0,350,0,0,14217,0,0,-7,4156,2006-03-31
11553,11430,0,0,0,0,0,11430,0,0,-126,4231,2006-03-31
18805,18302,0,0,140,0,0,18302,0,0,-40,4437,2006-03-31
18652,18873,0,0,176,0,0,18873,0,0,-618,4839,2006-03-31
34077,33813,0,0,0,0,0,33813,0,0,-328,5005,2006-03-31
6867,7302,0,0,860,0,0,7302,0,0,-31,5050,2006-03-31
74150,70511,0,0,516,0,0,70511,0,0,37,5069,2006-03-31
27056,26220,0,0,0,0,0,26220,0,0,-40,5135,2006-03-31
63572,64321,0,0,1141,0,0,64321,0,0,-982,5210,2006-03-31
12259,12135,0,0,0,0,0,12135,0,0,-9,5274,2006-03-31
22930,22616,0,0,52,0,0,22616,0,0,53,5331,2006-03-31
28921,28691,0,0,750,0,0,28691,0,0,-930,5461,2006-03-31
21920,21787,0,0,300,0,0,21787,0,0,-112,5751,2006-03-31
9025,8751,0,0,0,0,0,8751,0,0,-13,6039,2006-03-31
1460,1431,0,0,0,0,0,1431,0,0,-7,6057,2006-03-31
4054,3971,0,0,0,0,0,3971,0,0,0,6141,2006-03-31
26696,25781,0,0,0,0,0,25781,0,0,-127,6329,2006-03-31
98123,97254,0,0,1250,0,0,97254,0,0,-78,6972,2006-03-31
56037,52839,0,0,0,0,0,52839,0,0,178,7009,2006-03-31
11054,10883,0,0,0,0,0,10883,0,0,-29,7045,2006-03-31
3730,3708,0,0,24,0,0,3708,0,0,-15,7157,2006-03-31
62880,60109,0,0,0,0,0,60109,0,0,-139,7166,2006-03-31
3479,3890,0,0,376,0,0,3890,0,0,-87,7456,2006-03-31
