RIAD3210,RIAD3217,RIAD4356,RIAD4415,RIAD4460,RIAD4470,RIADB507,RIADB508,RIADB509,RIADB510,RIADB511,IDRSSD,RCON9999
21083,20156,0,0,120,0,0,20156,0,0,564,37,2016-06-30
5370,5343,0,0,346,0,0,5343,0,0,111,242,2016-06-30
28170,27657,0,0,0,0,0,27657,1,0,2,279,2016-06-30
1020,959,0,0,0,0,0,959,0,0,87,354,2016-06-30
4848,4530,0,0,105,0,0,4530,0,0,-2,457,2016-06-30
36388,35138,0,0,535,0,0,35138,0,0,475,505,2016-06-30
18993,18998,0,0,1415,0,0,18998,0,0,262,1155,2016-06-30
23411,23155,0,0,1167,0,0,23155,0,0,37,1351,2016-06-30
82531,75833,0,0,2000,0,0,75833,0,0,3182,1454,2016-06-30
11571,10733,0,0,0,0,0,10733,0,0,189,1557,2016-06-30
46393,44353,0,0,0,0,0,44353,0,0,762,1669,2016-06-30
49773,47723,0,0,800,0,0,47723,0,0,1272,1829,2016-06-30
16718,15019,0,0,606,0,0,15019,0,0,1576,1856,2016-06-30
22884,22457,0,0,630,0,0,22457,0,0,241,2040,2016-06-30
16517,15942,0,0,475,0,0,15942,0,0,94,2161,2016-06-30
456606,438261,0,0,0,0,0,438261,0,3805,-5811,2376,2016-06-30
1427,1360,0,0,20,0,0,1360,0,0,5,2554,2016-06-30
85470,83703,0,0,530,0,0,83703,0,0,461,2732,2016-06-30
7069,6857,0,0,211,0,0,6857,-1,0,88,2750,2016-06-30
105111,102486,0,0,2000,0,0,102486,356,0,729,3177,2016-06-30
25250,23782,0,0,550,0,0,23782,0,0,677,3252,2016-06-30
4284,4031,0,0,0,0,0,4031,0,0,109,3458,2016-06-30
34678,33280,0,0,240,0,0,33280,0,0,361,3720,2016-06-30
110939,110241,0,0,0,0,0,110241,0,0,430,3971,2016-06-30
22642,22766,0,0,1000,0,0,22766,0,0,185,4156,2016-06-30
16176,15514,0,0,0,0,0,15514,0,0,418,4231,2016-06-30
39350,38279,0,0,851,0,0,38279,0,0,365,4839,2016-06-30
179816,175840,0,0,6785,0,0,175840,0,0,653,5069,2016-06-30
59668,56688,0,0,0,0,0,56688,0,0,87,5135,2016-06-30
99836,95948,0,0,2417,0,0,95948,0,0,1065,5210,2016-06-30
55219,50928,0,0,300,0,0,50928,0,0,2787,5461,2016-06-30
34412,33956,0,0,2850,0,0,33956,0,0,1069,5751,2016-06-30
8536,8225,0,0,0,0,0,8225,0,0,47,6039,2016-06-30
5933,5834,0,0,0,0,0,5834,0,0,0,6141,2016-06-30
52541,49741,0,0,300,0,0,49741,0,0,38,6329,2016-06-30
60577,57180,0,0,4000,0,0,57180,0,0,164,7009,2016-06-30
20008,19051,0,0,0,0,0,19051,0,0,594,7045,2016-06-30
32375,32036,0,0,0,0,0,32036,0,0,55,7072,2016-06-30
5129,4974,0,0,48,0,0,4974,0,0,88,7157,2016-06-30
6958,6468,0,0,146,0,0,6468,0,0,123,7456,2016-06-30
8310,7832,0,0,336,0,0,7832,0,0,274,7634,2016-06-30
27587,26166,0,0,500,0,0,26166,0,0,67,8033,2016-06-30
21362,19896,0,0,172,0,0,19896,0,0,515,8462,2016-06-30
6969,6794,0,0,80,0,0,6794,0,0,76,8631,2016-06-30
82233,78706,0,0,1881,0,0,78706,0,0,610,9357,2016-06-30
12870,12351,0,0,824,0,0,12351,0,0,212,9553,2016-06-30
304933,293659,0,0,10106,0,0,293659,0,0,1934,9807,2016-06-30
17893,17106,0,0,508,0,0,17106,0,0,329,9955,2016-06-30
37510,35511,0,0,1175,0,0,35511,0,0,1116,10250,2016-06-30
27239,26065,0,0,0,0,0,26065,0,0,763,10849,2016-06-30
20362,19573,0,0,360,0,0,19573,0,0,69,11145,2016-06-30
214377,147771,62751,0,0,0,0,147771,0,0,70,11275,2016-06-30
43297,40222,0,0,0,0,0,40222,0,0,626,11640,2016-06-30
14301,13059,0,0,150,0,0,13059,0,0,282,11837,2016-06-30
53117,49514,0,0,1000,0,0,49514,0,0,-1,12030,2016-06-30
22411,20798,0,0,0,0,0,20798,0,0,852,12142,2016-06-30
7762,7685,0,0,0,0,0,7685,0,0,7,12179,2016-06-30
6620435,5966783,0,-162000,173500,0,0,5966783,515417,0,92410,12311,2016-06-30
9765,9700,0,0,114,0,0,9700,0,0,0,12647,2016-06-30
1707,1687,0,0,0,0,0,1687,0,0,0,12656,2016-06-30
32845,32355,0,0,150,0,0,32355,0,0,0,12937,2016-06-30
135085,132309,0,0,10644,0,0,132309,0,0,2328,12946,2016-06-30
13713,13917,0,0,1330,0,0,13917,0,0,0,12955,2016-06-30
237960,225910,0,0,399,0,0,225910,0,0,5533,13103,2016-06-30
4569,4519,0,0,134,0,0,4519,0,0,8,13251,2016-06-30
6162,6016,0,0,0,0,0,6016,0,0,18,13457,2016-06-30
7281,7196,0,0,264,0,0,7196,0,0,26,14052,2016-06-30
18167,17877,0,0,1370,0,0,17877,0,0,231,14155,2016-06-30
3827,3679,0,0,81,0,0,3679,0,0,0,14650,2016-06-30
4734,4713,0,0,0,44,0,4713,0,0,-10,14753,2016-06-30
37892,36473,0,0,350,0,0,36473,0,0,3,14865,2016-06-30
8445,8375,0,0,0,0,0,8375,0,0,-71,14977,2016-06-30
34904,32315,0,0,1000,0,0,32315,0,0,1129,16551,2016-06-30
8172,7955,0,0,59,0,0,7955,0,0,12,16748,2016-06-30
20189,18781,0,0,2000,0,0,18781,0,0,0,17110,2016-06-30
967098,927774,1213,0,12500,0,0,927774,714,0,9120,17147,2016-06-30
5902,5679,0,0,185,0,0,5679,0,0,157,17259,2016-06-30
337324,328770,0,0,0,0,0,328770,0,0,677,17464,2016-06-30
