RIAD3210,RIAD3217,RIAD4356,RIAD4415,RIAD4460,RIAD4470,RIADB507,RIADB508,RIADB509,RIADB510,RIADB511,IDRSSD,RCON9999
66153,56469,0,6000,0,0,0,56469,0,0,304,309655,2019-09-30
8609,8273,0,0,199,0,0,8273,0,0,313,309851,2019-09-30
27382,26449,0,0,0,0,0,26449,320,0,371,310071,2019-09-30
6882,6515,0,745,0,0,0,6515,0,0,0,310754,2019-09-30
14862,12886,0,0,0,0,0,12886,0,0,709,310950,2019-09-30
343602,380897,0,832,68187,0,0,380897,0,0,3009,310978,2019-09-30
109752,95064,0,0,6775,0,0,95064,0,0,12180,311050,2019-09-30
6438,6048,0,0,357,0,0,6048,0,0,111,311144,2019-09-30
10502,9597,0,500,790,0,0,9597,0,0,225,311256,2019-09-30
33453,29556,0,0,900,0,0,29556,0,0,2477,311265,2019-09-30
102934,95713,0,0,0,0,0,95713,0,0,2834,311603,2019-09-30
7470,6583,0,0,130,0,0,6583,0,0,588,311658,2019-09-30
2252707,2093625,0,0,5000,134,0,2093625,0,0,53411,311845,2019-09-30
21231,20284,0,0,913,0,0,20284,0,0,711,311939,2019-09-30
74552,66589,0,0,7500,0,0,66589,0,0,4414,312244,2019-09-30
20188,18987,0,0,700,0,0,18987,0,0,296,312356,2019-09-30
17110,15340,0,0,0,0,0,15340,0,3,796,313009,2019-09-30
11304,9666,0,0,450,0,0,9666,0,0,742,313157,2019-09-30
28648,25481,0,0,510,0,0,25481,85,0,1388,313223,2019-09-30
61748,51893,0,7000,500,0,0,51893,0,0,876,313577,2019-09-30
74917,72118,0,0,4460,0,0,72118,0,0,337,314257,2019-09-30
20840,16861,0,0,746,0,0,16861,0,0,2537,314444,2019-09-30
20640,20604,0,0,2145,0,0,20604,0,0,0,315656,2019-09-30
48178,45313,0,0,375,0,0,45313,0,0,29,316354,2019-09-30
679629,625815,0,0,17400,0,126,625941,1622,0,4237,316840,2019-09-30
12597,11325,0,0,380,0,0,11325,20,0,657,316859,2019-09-30
5312,5003,0,0,97,0,0,5003,0,0,0,316934,2019-09-30
47855,45895,0,0,3962,0,0,45895,0,0,1001,317258,2019-09-30
374861,356118,0,-18500,18719,0,0,356118,0,0,6872,317342,2019-09-30
35745,33072,0,0,0,0,0,33072,0,0,1226,317379,2019-09-30
4536,3554,0,0,0,0,0,3554,0,0,970,317650,2019-09-30
1810,1733,0,0,0,0,0,1733,0,0,31,318639,2019-09-30
42506,36683,0,4000,0,0,-90,36593,64,0,333,318835,2019-09-30
15735,14299,0,19,0,0,0,14299,0,0,378,318947,2019-09-30
204683,197721,0,0,701,0,58,197779,0,0,3215,318974,2019-09-30
20527,18463,0,0,100,0,0,18463,0,0,744,319047,2019-09-30
10262,7500,0,0,1115,0,0,7500,0,0,2279,319458,2019-09-30
46397,42308,0,0,800,0,0,42308,0,0,1228,319551,2019-09-30
