RIAD3210,RIAD3217,RIAD4356,RIAD4415,RIAD4460,RIAD4470,RIADB507,RIADB508,RIADB509,RIADB510,RIADB511,IDRSSD,RCON9999
18915,17273,0,0,120,0,0,17273,0,0,1044,37,2014-09-30
4966,4563,0,0,364,0,0,4563,0,0,288,242,2014-09-30
26728,26028,0,0,0,0,0,26028,1,0,-50,279,2014-09-30
871,719,0,0,0,0,0,719,0,0,141,354,2014-09-30
4428,4010,0,0,339,0,0,4010,0,0,4,457,2014-09-30
35648,33997,0,0,798,0,0,33997,0,0,391,505,2014-09-30
19396,18041,0,0,2012,0,0,18041,0,0,693,1155,2014-09-30
23227,21724,0,0,921,0,0,21724,0,0,94,1351,2014-09-30
66092,52250,0,0,3950,0,0,52250,0,0,10296,1454,2014-09-30
10213,9183,0,0,372,0,0,9183,0,0,614,1557,2014-09-30
45800,43952,0,0,0,0,0,43952,0,0,-127,1669,2014-09-30
45526,43006,0,0,1261,0,0,43006,0,0,1368,1829,2014-09-30
15642,13373,0,0,591,0,0,13373,0,0,1683,1856,2014-09-30
21466,19369,0,0,0,0,0,19369,0,0,1549,2040,2014-09-30
15616,14042,0,0,525,0,0,14042,0,0,786,2161,2014-09-30
458036,423113,0,0,0,0,0,423113,0,7004,-1903,2376,2014-09-30
1301,1273,0,0,106,0,0,1273,0,0,0,2554,2014-09-30
80914,80327,0,0,796,0,0,80327,0,0,-116,2732,2014-09-30
5958,5290,0,0,276,0,0,5290,0,0,450,2750,2014-09-30
102096,103231,0,0,8000,0,0,103231,743,0,1080,3177,2014-09-30
22887,20391,0,0,750,0,0,20391,0,0,594,3252,2014-09-30
3592,3317,0,0,25,0,0,3317,0,0,118,3458,2014-09-30
31475,29750,0,0,360,0,62,29812,0,0,295,3720,2014-09-30
107670,105967,0,0,0,0,0,105967,0,0,1045,3971,2014-09-30
22037,21227,0,0,747,0,0,21227,0,0,152,4156,2014-09-30
14571,12746,0,0,0,0,0,12746,0,0,1598,4231,2014-09-30
27754,25976,0,0,140,0,0,25976,0,0,732,4437,2014-09-30
35859,33030,0,564,855,0,0,33030,0,0,1401,4839,2014-09-30
161140,151547,0,0,9950,0,0,151547,0,0,1813,5069,2014-09-30
50700,46306,0,0,0,0,0,46306,0,0,575,5135,2014-09-30
93962,90294,0,0,3599,0,0,90294,0,0,224,5210,2014-09-30
47406,43003,0,0,1902,0,0,43003,0,0,3622,5461,2014-09-30
30422,28087,0,0,1200,0,0,28087,0,0,638,5751,2014-09-30
7809,7736,0,0,0,0,0,7736,0,0,42,6039,2014-09-30
5729,5507,0,0,60,0,0,5507,0,0,0,6141,2014-09-30
42650,37433,0,0,0,0,0,37433,0,0,72,6329,2014-09-30
59737,57612,0,0,12500,0,0,57612,0,0,-210,7009,2014-09-30
18672,16571,0,0,0,0,0,16571,0,0,858,7045,2014-09-30
31890,31132,0,0,0,0,293,31425,0,0,40,7072,2014-09-30
4738,4540,0,0,0,0,0,4540,0,0,39,7157,2014-09-30
5671,5064,0,0,212,0,0,5064,0,0,92,7456,2014-09-30
6865,6338,0,0,286,0,0,6338,0,0,208,7634,2014-09-30
21647,19640,0,0,450,0,0,19640,0,0,83,8033,2014-09-30
17973,16174,0,0,373,0,0,16174,0,0,586,8462,2014-09-30
6789,6447,0,0,120,0,0,6447,0,0,143,8631,2014-09-30
78794,74243,0,0,1229,0,0,74243,0,0,145,9357,2014-09-30
11831,10586,0,0,769,0,0,10586,0,0,247,9553,2014-09-30
240326,232122,0,0,11575,0,0,232122,0,0,4339,9807,2014-09-30
15767,14737,0,0,735,0,0,14737,0,0,269,9955,2014-09-30
34409,30773,0,0,0,0,0,30773,0,0,714,10250,2014-09-30
27101,25668,0,0,0,0,0,25668,0,0,978,10849,2014-09-30
19378,18390,0,0,360,0,0,18390,0,0,75,11145,2014-09-30
137273,132854,0,0,4700,0,0,132854,0,0,13,11275,2014-09-30
39519,35221,0,0,0,0,0,35221,0,0,1491,11640,2014-09-30
11595,10209,0,0,0,0,0,10209,0,0,1453,11837,2014-09-30
47122,42916,0,0,250,0,0,42916,0,0,67,12030,2014-09-30
20773,18444,0,0,0,0,0,18444,0,0,1232,12142,2014-09-30
7034,7027,0,0,0,0,0,7027,0,0,-4,12179,2014-09-30
13156,13605,-14252,0,0,0,0,13605,13605,0,174,12245,2014-09-30
5926366,5537582,0,122123,244000,0,-9169,5528413,0,0,27471,12311,2014-09-30
11345,9796,0,1458,427,0,0,9796,0,0,0,12647,2014-09-30
1642,1602,0,0,0,0,0,1602,0,0,0,12656,2014-09-30
31315,30763,0,0,300,0,0,30763,0,0,-4,12937,2014-09-30
100750,89211,0,0,5700,0,0,89211,0,0,4848,12946,2014-09-30
13488,12691,0,0,428,0,0,12691,0,0,0,12955,2014-09-30
222196,214911,0,0,445,0,0,214911,0,0,-173,13103,2014-09-30
4418,4109,0,0,0,0,0,4109,0,0,-18,13251,2014-09-30
6163,5878,0,0,0,0,0,5878,0,0,59,13457,2014-09-30
7273,6978,0,0,0,0,0,6978,0,0,1,14052,2014-09-30
16041,15476,0,0,880,0,0,15476,0,0,29,14155,2014-09-30
3257,3041,0,0,121,0,0,3041,0,0,0,14650,2014-09-30
4272,4075,0,0,0,66,0,4075,0,0,-5,14753,2014-09-30
30596,29870,0,-1474,0,0,0,29870,0,0,105,14865,2014-09-30
8159,8056,0,0,0,0,0,8056,0,0,-16,14977,2014-09-30
35314,34501,0,0,554,0,0,34501,0,0,135,16458,2014-09-30
24689,24043,0,0,2250,0,0,24043,0,0,459,16551,2014-09-30
7499,7291,0,0,59,0,0,7291,0,0,2,16748,2014-09-30
3197,3850,0,0,0,0,0,3850,0,0,-319,16944,2014-09-30
4924,4475,0,0,142,0,0,4475,0,0,460,16953,2014-09-30
16825,18912,0,0,6500,0,0,18912,0,0,0,17110,2014-09-30
753481,734008,0,0,42000,0,0,734008,913,0,11469,17147,2014-09-30
5737,5384,0,0,370,0,0,5384,0,0,109,17259,2014-09-30
300557,186580,191162,0,0,0,0,186580,-210,-79073,1150,17464,2014-09-30
34267,30970,0,0,638,0,0,30970,0,0,1342,17950,2014-09-30
105346,103483,0,0,0,0,0,103483,0,0,0,17978,2014-09-30
48366,42726,0,0,1895,0,0,42726,0,0,2241,18050,2014-09-30
20733,18105,0,0,273,0,0,18105,0,0,2018,18135,2014-09-30
4297,3973,0,0,0,0,0,3973,0,0,2,18377,2014-09-30
46047,45149,0,0,1500,0,0,45149,0,0,286,18827,2014-09-30
15254,14672,0,0,200,0,0,14672,0,0,65,18836,2014-09-30
43306,30642,0,8000,3200,0,0,30642,0,0,4,18854,2014-09-30
